Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:32:56,,
Header Version:,1,,
System Temp (C):,34.76,,
Detector Temp (C):,35.44,,
Humidity (%):,0.87,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.693,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.004062,108485.000000,107475.000000
905.375756,0.009779,121306.000000,118605.000000
909.237442,0.012322,131909.000000,128219.000000
913.094897,0.013256,143299.000000,138991.000000
916.948121,0.015217,156982.000000,151577.000000
922.079171,0.017564,179937.000000,172805.000000
925.922522,0.018976,200504.000000,191932.000000
929.761641,0.019520,222660.000000,212874.000000
933.596530,0.018969,244426.000000,233980.000000
937.427188,0.018043,263972.000000,253230.000000
941.253614,0.017080,281845.000000,270976.000000
945.075809,0.015899,297271.000000,286585.000000
950.165487,0.015296,315605.000000,304683.000000
953.977810,0.014783,328029.000000,317051.000000
957.785901,0.014180,340470.000000,329533.000000
961.589761,0.014516,352317.000000,340736.000000
965.389390,0.014261,363056.000000,351328.000000
969.184788,0.013516,373162.000000,361727.000000
972.975955,0.014326,382632.000000,370216.000000
976.762890,0.014121,391202.000000,378687.000000
981.805555,0.014301,400190.000000,387227.000000
985.582618,0.014959,406088.000000,392339.000000
989.355450,0.014601,410162.000000,396602.000000
993.124050,0.015119,412868.000000,398742.000000
996.888419,0.014947,414263.000000,400248.000000
1000.648557,0.015245,415476.000000,401145.000000
1004.404464,0.015358,415479.000000,401043.000000
1009.405758,0.015875,414358.000000,399485.000000
1013.151792,0.016458,412923.000000,397568.000000
1016.893595,0.016429,411526.000000,396249.000000
1020.631167,0.015750,409066.000000,394497.000000
1024.364507,0.016261,406777.000000,391828.000000
1028.093617,0.015485,404427.000000,390261.000000
1031.818495,0.015895,401911.000000,387467.000000
1036.778417,0.015663,398410.000000,384297.000000
