Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:15:40,,
Header Version:,1,,
System Temp (C):,34.64,,
Detector Temp (C):,35.37,,
Humidity (%):,1.56,,
Lamp PD:,3820,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.667,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.015075,108485.000000,104784.000000
905.375756,0.021161,121306.000000,115537.000000
909.237442,0.022538,131909.000000,125238.000000
913.094897,0.024134,143299.000000,135553.000000
916.948121,0.024928,156982.000000,148225.000000
922.079171,0.026902,179937.000000,169129.000000
925.922522,0.029284,200504.000000,187430.000000
929.761641,0.030547,222660.000000,207537.000000
933.596530,0.030971,244426.000000,227602.000000
937.427188,0.030127,263972.000000,246281.000000
941.253614,0.029564,281845.000000,263297.000000
945.075809,0.028781,297271.000000,278209.000000
950.165487,0.026872,315605.000000,296669.000000
953.977810,0.027008,328029.000000,308251.000000
957.785901,0.026214,340470.000000,320527.000000
961.589761,0.026421,352317.000000,331522.000000
965.389390,0.026026,363056.000000,341938.000000
969.184788,0.025852,373162.000000,351597.000000
972.975955,0.025875,382632.000000,360501.000000
976.762890,0.026475,391202.000000,368066.000000
981.805555,0.026535,400190.000000,376471.000000
985.582618,0.027312,406088.000000,381336.000000
989.355450,0.027056,410162.000000,385389.000000
993.124050,0.027150,412868.000000,387848.000000
996.888419,0.027258,414263.000000,389061.000000
1000.648557,0.027535,415476.000000,389952.000000
1004.404464,0.028387,415479.000000,389190.000000
1009.405758,0.028423,414358.000000,388108.000000
1013.151792,0.028477,412923.000000,386716.000000
