Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:27:58,,
Header Version:,1,,
System Temp (C):,34.66,,
Detector Temp (C):,35.34,,
Humidity (%):,0.87,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.008657,108485.000000,106344.000000
905.375756,0.015474,121306.000000,117060.000000
909.237442,0.014305,131909.000000,127635.000000
913.094897,0.015569,143299.000000,138253.000000
916.948121,0.017319,156982.000000,150845.000000
922.079171,0.020441,179937.000000,171664.000000
925.922522,0.022356,200504.000000,190444.000000
929.761641,0.022765,222660.000000,211289.000000
933.596530,0.022063,244426.000000,232319.000000
937.427188,0.021355,263972.000000,251306.000000
941.253614,0.020924,281845.000000,268588.000000
945.075809,0.019496,297271.000000,284221.000000
950.165487,0.018655,315605.000000,302335.000000
953.977810,0.017603,328029.000000,314999.000000
957.785901,0.017923,340470.000000,326705.000000
961.589761,0.017221,352317.000000,338620.000000
965.389390,0.017361,363056.000000,348829.000000
969.184788,0.016981,373162.000000,358853.000000
972.975955,0.017327,382632.000000,367667.000000
976.762890,0.017441,391202.000000,375803.000000
981.805555,0.017696,400190.000000,384211.000000
985.582618,0.017637,406088.000000,389927.000000
989.355450,0.017925,410162.000000,393578.000000
993.124050,0.018117,412868.000000,395999.000000
996.888419,0.018553,414263.000000,396938.000000
1000.648557,0.018062,415476.000000,398551.000000
1004.404464,0.019556,415479.000000,397185.000000
1009.405758,0.019718,414358.000000,395966.000000
1013.151792,0.019694,412923.000000,394616.000000
