Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:9:11,,
Header Version:,1,,
System Temp (C):,34.56,,
Detector Temp (C):,34.41,,
Humidity (%):,1.08,,
Lamp PD:,3821,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.724,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1349.730896,0.006113,645338.000000,636318.000000
1354.183078,0.007902,641175.000000,629614.000000
1357.517278,0.008749,638376.000000,625645.000000
1360.847247,0.009089,635805.000000,622637.000000
1364.172985,0.008870,633413.000000,620607.000000
1367.494492,0.008793,631026.000000,618378.000000
1370.811767,0.009037,628050.000000,615116.000000
1374.124812,0.009275,625034.000000,611827.000000
1378.535622,0.009641,620272.000000,606654.000000
1381.838794,0.010069,616892.000000,602754.000000
1385.137734,0.010268,613613.000000,599276.000000
1388.432444,0.010295,611526.000000,597200.000000
1391.722922,0.011448,610663.000000,594776.000000
1395.009169,0.011833,610634.000000,594221.000000
1398.291185,0.012808,611700.000000,593923.000000
1402.660624,0.014180,614051.000000,594326.000000
1405.932767,0.015291,616268.000000,594947.000000
1409.200679,0.016312,617795.000000,595021.000000
1412.464359,0.016663,618872.000000,595577.000000
1415.723809,0.016926,619795.000000,596104.000000
1418.979027,0.016862,620495.000000,596865.000000
1422.230015,0.016477,621087.000000,597964.000000
1426.558082,0.015406,621375.000000,599719.000000
1429.799197,0.014988,621616.000000,600529.000000
1433.036080,0.014732,622129.000000,601379.000000
1436.268732,0.013737,621526.000000,602175.000000
1439.497153,0.012753,621113.000000,603139.000000
1442.721343,0.012212,620921.000000,603704.000000
1445.941302,0.011951,620270.000000,603434.000000
1450.227998,0.011776,618860.000000,602305.000000
1453.438084,0.011608,617697.000000,601406.000000
1456.643939,0.011575,616264.000000,600056.000000
1459.845562,0.010987,614413.000000,599064.000000
1463.042954,0.010559,612307.000000,597599.000000
1466.236116,0.010148,610032.000000,595943.000000
1469.425046,0.010031,607345.000000,593478.000000
1473.670371,0.009824,603789.000000,590284.000000
1476.849428,0.010267,601175.000000,587130.000000
1480.024254,0.009671,597737.000000,584573.000000
1483.194849,0.009796,594479.000000,581220.000000
1486.361213,0.009587,591232.000000,578323.000000
1489.523345,0.009964,587853.000000,574520.000000
1492.681247,0.010037,583875.000000,570536.000000
1496.885200,0.009338,578062.000000,565765.000000
1500.033229,0.009460,574159.000000,561787.000000
1503.177027,0.009019,570285.000000,558564.000000
1506.316593,0.008826,565444.000000,554069.000000
1509.451928,0.008527,560571.000000,549672.000000
1512.583032,0.008430,555821.000000,545136.000000
1515.709905,0.007921,550344.000000,540398.000000
1519.872487,0.007643,543983.000000,534493.000000
1522.989487,0.007803,538764.000000,529171.000000
1526.102256,0.007954,533692.000000,524007.000000
1529.210794,0.008078,527902.000000,518174.000000
1532.315101,0.007687,521886.000000,512730.000000
1535.415176,0.007934,515888.000000,506549.000000
1538.511021,0.008040,509987.000000,500633.000000
1541.602634,0.007981,503936.000000,494760.000000
1545.718203,0.007582,494694.000000,486132.000000
1548.799943,0.007559,488378.000000,479951.000000
1551.877452,0.007991,481832.000000,473047.000000
1554.950730,0.008029,474989.000000,466288.000000
1558.019777,0.007661,467818.000000,459638.000000
1561.084593,0.007866,460730.000000,452460.000000
1564.145177,0.008227,454170.000000,445647.000000
1568.219375,0.008139,444181.000000,435934.000000
1571.270087,0.008374,436947.000000,428603.000000
1574.316568,0.008668,429598.000000,421109.000000
1577.358817,0.008525,422039.000000,413835.000000
1580.396835,0.008695,414375.000000,406161.000000
1583.430622,0.009172,406354.000000,397862.000000
1586.460178,0.008976,398475.000000,390324.000000
1590.493005,0.009442,388982.000000,380616.000000
1593.512688,0.009351,380708.000000,372598.000000
1596.528140,0.010280,372727.000000,364008.000000
1599.539361,0.011200,365060.000000,355766.000000
1602.546350,0.012320,357543.000000,347543.000000
1605.549109,0.014549,349495.000000,337981.000000
1608.547636,0.016283,341154.000000,328600.000000
1612.539091,0.019680,330877.000000,316218.000000
1615.527746,0.020967,322904.000000,307685.000000
1618.512169,0.022599,315116.000000,299138.000000
1621.492362,0.025113,307217.000000,289956.000000
1624.468323,0.027600,299481.000000,281041.000000
1627.440053,0.031757,292112.000000,271514.000000
1630.407551,0.036753,284245.000000,261180.000000
1634.357635,0.048568,274079.000000,245080.000000
1637.315261,0.061332,266916.000000,231762.000000
1640.268656,0.075184,259612.000000,218344.000000
1643.217819,0.090565,251804.000000,204408.000000
1646.162752,0.107128,244348.000000,190933.000000
1649.103453,0.122206,236703.000000,178648.000000
1652.039924,0.134928,228171.000000,167237.000000
1655.948635,0.144345,215408.000000,154496.000000
1658.875233,0.139125,204937.000000,148763.000000
1661.797599,0.124398,193395.000000,145227.000000
1664.715734,0.101179,179728.000000,142376.000000
1667.629638,0.073223,163642.000000,138252.000000
1670.539311,0.044371,146312.000000,132102.000000
1673.444753,0.016912,128451.000000,123545.000000
1677.312093,-0.017168,105080.000000,109317.000000
1680.207662,-0.042353,88906.000000,98013.000000
1683.099000,-0.058250,75033.000000,85803.000000
1685.986106,-0.068318,63520.000000,74341.000000
1688.868982,-0.076764,53714.000000,64099.000000
1691.747626,-0.078859,45653.000000,54743.000000
1694.622039,-0.071810,39137.000000,46174.000000
1697.492221,-0.070314,33776.000000,39712.000000
1701.312548,-0.065175,28175.000000,32737.000000
