Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:13:38,,
Header Version:,1,,
System Temp (C):,34.79,,
Detector Temp (C):,35.05,,
Humidity (%):,0.97,,
Lamp PD:,3820,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.738,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.008436,108485.000000,110613.000000
905.375756,-0.002954,121306.000000,122134.000000
909.237442,-0.001289,131909.000000,132301.000000
913.094897,-0.000255,143299.000000,143383.000000
916.948121,-0.000097,156982.000000,157017.000000
922.079171,0.002270,179937.000000,178999.000000
925.922522,0.004089,200504.000000,198625.000000
929.761641,0.003883,222660.000000,220678.000000
933.596530,0.004977,244426.000000,241641.000000
937.427188,0.004073,263972.000000,261508.000000
941.253614,0.003492,281845.000000,279588.000000
945.075809,0.001642,297271.000000,296149.000000
950.165487,0.000840,315605.000000,314995.000000
953.977810,-0.000279,328029.000000,328240.000000
957.785901,-0.000766,340470.000000,341071.000000
961.589761,-0.000426,352317.000000,352663.000000
965.389390,-0.000513,363056.000000,363485.000000
969.184788,-0.000894,373162.000000,373931.000000
972.975955,-0.000685,382632.000000,383236.000000
976.762890,-0.000681,391202.000000,391816.000000
981.805555,-0.000774,400190.000000,400904.000000
985.582618,-0.000565,406088.000000,406617.000000
989.355450,-0.000528,410162.000000,410661.000000
993.124050,-0.000324,412868.000000,413176.000000
996.888419,-0.000164,414263.000000,414419.000000
1000.648557,-0.000323,415476.000000,415785.000000
1004.404464,-0.000036,415479.000000,415513.000000
1009.405758,-0.000204,414358.000000,414553.000000
1013.151792,-0.000436,412923.000000,413338.000000
1016.893595,-0.000379,411526.000000,411885.000000
1020.631167,-0.000308,409066.000000,409356.000000
1024.364507,-0.000054,406777.000000,406828.000000
1028.093617,-0.000355,404427.000000,404758.000000
1031.818495,-0.000256,401911.000000,402148.000000
1036.778417,-0.000364,398410.000000,398744.000000
1040.493423,-0.001432,396204.000000,397513.000000
1044.204197,-0.000931,394236.000000,395082.000000
1047.910740,-0.001354,392042.000000,393266.000000
1051.613052,-0.001718,389823.000000,391368.000000
1055.311133,-0.001492,388234.000000,389570.000000
1059.004983,-0.001898,387599.000000,389297.000000
1063.923534,-0.002096,386688.000000,388559.000000
1067.607511,-0.002183,386598.000000,388546.000000
