Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:40:26,,
Header Version:,1,,
System Temp (C):,34.87,,
Detector Temp (C):,35.54,,
Humidity (%):,0.87,,
Lamp PD:,3820,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.732,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.005272,108485.000000,107176.000000
905.375756,0.011074,121306.000000,118252.000000
909.237442,0.011939,131909.000000,128332.000000
913.094897,0.013816,143299.000000,138812.000000
916.948121,0.016910,156982.000000,150987.000000
922.079171,0.017449,179937.000000,172851.000000
925.922522,0.019351,200504.000000,191766.000000
929.761641,0.020862,222660.000000,212217.000000
933.596530,0.021508,244426.000000,232616.000000
937.427188,0.019427,263972.000000,252424.000000
941.253614,0.018520,281845.000000,270079.000000
945.075809,0.016993,297271.000000,285864.000000
950.165487,0.016409,315605.000000,303903.000000
953.977810,0.015083,328029.000000,316832.000000
957.785901,0.015099,340470.000000,328836.000000
961.589761,0.015801,352317.000000,339729.000000
965.389390,0.015344,363056.000000,350453.000000
969.184788,0.014867,373162.000000,360604.000000
972.975955,0.014974,382632.000000,369664.000000
976.762890,0.014722,391202.000000,378163.000000
981.805555,0.015085,400190.000000,386528.000000
985.582618,0.016014,406088.000000,391387.000000
989.355450,0.015828,410162.000000,395483.000000
993.124050,0.015928,412868.000000,398000.000000
996.888419,0.016394,414263.000000,398917.000000
1000.648557,0.016198,415476.000000,400265.000000
1004.404464,0.017078,415479.000000,399458.000000
1009.405758,0.017353,414358.000000,398128.000000
1013.151792,0.017686,412923.000000,396445.000000
1016.893595,0.017519,411526.000000,395256.000000
1020.631167,0.017094,409066.000000,393278.000000
1024.364507,0.017084,406777.000000,391086.000000
1028.093617,0.016983,404427.000000,388917.000000
1031.818495,0.017375,401911.000000,386149.000000
1036.778417,0.016075,398410.000000,383933.000000
1040.493423,0.015885,396204.000000,381974.000000
1044.204197,0.015945,394236.000000,380024.000000
1047.910740,0.016056,392042.000000,377813.000000
1051.613052,0.015996,389823.000000,375726.000000
1055.311133,0.015229,388234.000000,374856.000000
1059.004983,0.015331,387599.000000,374155.000000
1063.923534,0.014932,386688.000000,373619.000000
1067.607511,0.014481,386598.000000,373920.000000
1071.287257,0.014588,387377.000000,374581.000000
1074.962771,0.014292,388536.000000,375958.000000
1078.634055,0.013762,389855.000000,377695.000000
1082.301107,0.013541,391215.000000,379205.000000
1085.963928,0.012653,393215.000000,381924.000000
1090.841108,0.013049,396270.000000,384541.000000
1094.494056,0.012930,398760.000000,387063.000000
1098.142773,0.013601,400987.000000,388624.000000
1101.787259,0.013982,403477.000000,390694.000000
1105.427514,0.014588,406116.000000,392701.000000
1109.063538,0.015628,407701.000000,393291.000000
1112.695330,0.017439,409859.000000,393727.000000
1117.531139,0.020852,412494.000000,393157.000000
1121.153058,0.025281,414909.000000,391446.000000
1124.770747,0.027315,416559.000000,391166.000000
1128.384204,0.028323,418532.000000,392108.000000
1131.993431,0.026621,419956.000000,394987.000000
1135.598426,0.023510,421946.000000,399712.000000
