Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:53:21,,
Header Version:,1,,
System Temp (C):,31.55,,
Detector Temp (C):,30.12,,
Humidity (%):,3.61,,
Lamp PD:,3827,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.723,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.041854,108485.000000,98518.000000
905.375756,0.046858,121306.000000,108899.000000
909.237442,0.048161,131909.000000,118063.000000
913.094897,0.048169,143299.000000,128255.000000
916.948121,0.049834,156982.000000,139964.000000
922.079171,0.050141,179937.000000,160317.000000
925.922522,0.049098,200504.000000,179071.000000
929.761641,0.049438,222660.000000,198703.000000
933.596530,0.049970,244426.000000,217860.000000
937.427188,0.050893,263972.000000,234782.000000
941.253614,0.051886,281845.000000,250106.000000
945.075809,0.051756,297271.000000,263874.000000
950.165487,0.051857,315605.000000,280083.000000
953.977810,0.051833,328029.000000,291125.000000
957.785901,0.051892,340470.000000,302125.000000
961.589761,0.052868,352317.000000,311936.000000
965.389390,0.052774,363056.000000,321514.000000
969.184788,0.053781,373162.000000,329698.000000
972.975955,0.053632,382632.000000,338181.000000
976.762890,0.054571,391202.000000,345009.000000
981.805555,0.055469,400190.000000,352206.000000
985.582618,0.056231,406088.000000,356771.000000
989.355450,0.056838,410162.000000,359847.000000
993.124050,0.057267,412868.000000,361863.000000
996.888419,0.057713,414263.000000,362713.000000
1000.648557,0.058717,415476.000000,362935.000000
1004.404464,0.059573,415479.000000,362223.000000
1009.405758,0.061267,414358.000000,359839.000000
1013.151792,0.061693,412923.000000,358242.000000
1016.893595,0.062223,411526.000000,356594.000000
1020.631167,0.061684,409066.000000,354903.000000
1024.364507,0.062021,406777.000000,352643.000000
1028.093617,0.061305,404427.000000,351184.000000
1031.818495,0.061222,401911.000000,349066.000000
1036.778417,0.060267,398410.000000,346787.000000
1040.493423,0.059830,396204.000000,345214.000000
1044.204197,0.059498,394236.000000,343762.000000
1047.910740,0.058628,392042.000000,342535.000000
1051.613052,0.059155,389823.000000,340183.000000
1055.311133,0.057673,388234.000000,339954.000000
1059.004983,0.056919,387599.000000,339988.000000
1063.923534,0.055777,386688.000000,340082.000000
1067.607511,0.054487,386598.000000,341014.000000
1071.287257,0.054117,387377.000000,341993.000000
1074.962771,0.053154,388536.000000,343777.000000
1078.634055,0.052871,389855.000000,345169.000000
1082.301107,0.051886,391215.000000,347160.000000
1085.963928,0.051751,393215.000000,349043.000000
1090.841108,0.050070,396270.000000,353119.000000
1094.494056,0.050524,398760.000000,354967.000000
1098.142773,0.049222,400987.000000,358021.000000
1101.787259,0.049433,403477.000000,360069.000000
1105.427514,0.049132,406116.000000,362675.000000
1109.063538,0.048500,407701.000000,364621.000000
1112.695330,0.048961,409859.000000,366162.000000
1117.531139,0.048714,412494.000000,368726.000000
1121.153058,0.050157,414909.000000,369654.000000
1124.770747,0.050250,416559.000000,371045.000000
1128.384204,0.052187,418532.000000,371143.000000
1131.993431,0.053371,419956.000000,371392.000000
1135.598426,0.055655,421946.000000,371195.000000
1139.199190,0.057999,423881.000000,370890.000000
1143.993626,0.060517,426786.000000,371273.000000
1147.584518,0.061726,428617.000000,371829.000000
1151.171178,0.062880,431169.000000,373050.000000
1154.753606,0.064942,433579.000000,373359.000000
1158.331804,0.066864,436264.000000,374012.000000
1161.905771,0.069211,439132.000000,374442.000000
1165.475506,0.072043,442389.000000,374767.000000
1169.041010,0.074868,446101.000000,375461.000000
1173.788434,0.079560,451929.000000,376279.000000
1177.344065,0.082039,456026.000000,377529.000000
1180.895466,0.084471,461306.000000,379768.000000
1184.442635,0.086177,467657.000000,383487.000000
1187.985573,0.087478,473969.000000,387500.000000
1191.524279,0.086871,479856.000000,392862.000000
1195.058755,0.086183,487372.000000,399648.000000
1199.764807,0.084748,497347.000000,409177.000000
1203.289410,0.083752,504311.000000,415859.000000
1206.809782,0.082017,511507.000000,423482.000000
1210.325922,0.081037,519078.000000,430721.000000
1213.837832,0.080053,527163.000000,438422.000000
1217.345510,0.078460,534208.000000,445913.000000
1220.848957,0.077806,540472.000000,451822.000000
1225.513638,0.076965,549929.000000,460619.000000
1229.007212,0.075757,556888.000000,467747.000000
1232.496555,0.074861,562180.000000,473167.000000
1235.981667,0.074314,567975.000000,478647.000000
1239.462548,0.072926,574815.000000,485962.000000
1242.939198,0.072347,582782.000000,493355.000000
1246.411616,0.070886,591476.000000,502402.000000
1251.034925,0.070111,604016.000000,513970.000000
1254.497471,0.070759,612289.000000,520232.000000
1257.955786,0.071076,619125.000000,525657.000000
1261.409869,0.071172,624551.000000,530147.000000
1264.859721,0.072558,629900.000000,532983.000000
1268.305342,0.072807,634345.000000,536437.000000
1271.746732,0.073477,638574.000000,539181.000000
1276.328670,0.073809,642499.000000,542080.000000
1279.760187,0.073833,645905.000000,544924.000000
1283.187473,0.072998,648307.000000,548003.000000
1286.610528,0.073064,650446.000000,549727.000000
1290.029352,0.072347,652132.000000,552063.000000
1293.443944,0.071878,653907.000000,554164.000000
1296.854305,0.071509,655963.000000,556378.000000
1301.394872,0.071617,657349.000000,557416.000000
1304.795360,0.071849,657558.000000,557295.000000
1308.191618,0.072002,658515.000000,557909.000000
1311.583644,0.072219,658804.000000,557876.000000
1314.971439,0.072526,659011.000000,557656.000000
1318.355003,0.073331,658272.000000,556000.000000
1321.734336,0.073570,658022.000000,555482.000000
1326.233531,0.075086,657870.000000,553419.000000
1329.602991,0.076301,656482.000000,550708.000000
1332.968219,0.077293,654926.000000,548150.000000
1336.329217,0.078722,653727.000000,545349.000000
1339.685984,0.080683,652497.000000,541871.000000
1343.038519,0.082671,649913.000000,537260.000000
1346.386823,0.085249,647671.000000,532237.000000
1349.730896,0.087488,645338.000000,527593.000000
1354.183078,0.090965,641175.000000,520010.000000
1357.517278,0.093582,638376.000000,514629.000000
1360.847247,0.095896,635805.000000,509833.000000
1364.172985,0.098580,633413.000000,504786.000000
1367.494492,0.101264,631026.000000,499785.000000
1370.811767,0.103850,628050.000000,494475.000000
1374.124812,0.106509,625034.000000,489097.000000
1378.535622,0.110714,620272.000000,480693.000000
1381.838794,0.114577,616892.000000,473841.000000
1385.137734,0.119428,613613.000000,466087.000000
1388.432444,0.124579,611526.000000,459025.000000
1391.722922,0.130933,610663.000000,451719.000000
1395.009169,0.136719,610634.000000,445720.000000
1398.291185,0.143253,611700.000000,439831.000000
1402.660624,0.151904,614051.000000,432813.000000
1405.932767,0.158807,616268.000000,427526.000000
1409.200679,0.166206,617795.000000,421346.000000
1412.464359,0.172158,618872.000000,416335.000000
1415.723809,0.177868,619795.000000,411510.000000
1418.979027,0.182334,620495.000000,407760.000000
1422.230015,0.186621,621087.000000,404140.000000
1426.558082,0.191624,621375.000000,399696.000000
1429.799197,0.194638,621616.000000,397086.000000
1433.036080,0.198291,622129.000000,394085.000000
1436.268732,0.200489,621526.000000,391715.000000
1439.497153,0.202324,621113.000000,389804.000000
1442.721343,0.205661,620921.000000,386701.000000
1445.941302,0.207688,620270.000000,384497.000000
1450.227998,0.212115,618860.000000,379732.000000
1453.438084,0.214359,617697.000000,377065.000000
1456.643939,0.217052,616264.000000,373865.000000
1459.845562,0.220497,614413.000000,369797.000000
1463.042954,0.222678,612307.000000,366683.000000
1466.236116,0.226087,610032.000000,362465.000000
1469.425046,0.228203,607345.000000,359114.000000
1473.670371,0.233423,603789.000000,352746.000000
1476.849428,0.238225,601175.000000,347357.000000
1480.024254,0.243390,597737.000000,341287.000000
1483.194849,0.249564,594479.000000,334636.000000
1486.361213,0.254982,591232.000000,328682.000000
1489.523345,0.260061,587853.000000,323004.000000
1492.681247,0.264085,583875.000000,317859.000000
1496.885200,0.266309,578062.000000,313087.000000
1500.033229,0.267883,574159.000000,309848.000000
1503.177027,0.267715,570285.000000,307877.000000
1506.316593,0.266934,565444.000000,305813.000000
1509.451928,0.265704,560571.000000,304037.000000
1512.583032,0.264383,555821.000000,302379.000000
1515.709905,0.262453,550344.000000,300733.000000
1519.872487,0.259553,543983.000000,299249.000000
1522.989487,0.256258,538764.000000,298635.000000
1526.102256,0.254254,533692.000000,297192.000000
1529.210794,0.251166,527902.000000,296065.000000
1532.315101,0.248056,521886.000000,294795.000000
1535.415176,0.244609,515888.000000,293729.000000
1538.511021,0.241806,509987.000000,292249.000000
1541.602634,0.238239,503936.000000,291163.000000
1545.718203,0.232817,494694.000000,289414.000000
1548.799943,0.230233,488378.000000,287424.000000
1551.877452,0.226827,481832.000000,285804.000000
1554.950730,0.224840,474989.000000,283037.000000
1558.019777,0.223698,467818.000000,279498.000000
1561.084593,0.221144,460730.000000,276887.000000
1564.145177,0.220348,454170.000000,273445.000000
1568.219375,0.219155,444181.000000,268167.000000
1571.270087,0.218302,436947.000000,264318.000000
1574.316568,0.217672,429598.000000,260250.000000
1577.358817,0.216118,422039.000000,256587.000000
1580.396835,0.213606,414375.000000,253389.000000
1583.430622,0.211951,406354.000000,249433.000000
1586.460178,0.211359,398475.000000,244930.000000
1590.493005,0.207758,388982.000000,241086.000000
1593.512688,0.205704,380708.000000,237076.000000
1596.528140,0.202979,372727.000000,233567.000000
1599.539361,0.201653,365060.000000,229462.000000
1602.546350,0.198669,357543.000000,226287.000000
1605.549109,0.196728,349495.000000,222184.000000
1608.547636,0.193352,341154.000000,218574.000000
1612.539091,0.190466,330877.000000,213403.000000
1615.527746,0.188273,322904.000000,209315.000000
1618.512169,0.187198,315116.000000,204773.000000
1621.492362,0.184909,307217.000000,200695.000000
1624.468323,0.184506,299481.000000,195823.000000
1627.440053,0.182008,292112.000000,192106.000000
1630.407551,0.181011,284245.000000,187362.000000
1634.357635,0.179912,274079.000000,181119.000000
1637.315261,0.178193,266916.000000,177085.000000
1640.268656,0.176387,259612.000000,172957.000000
1643.217819,0.177250,251804.000000,167422.000000
1646.162752,0.175331,244348.000000,163184.000000
1649.103453,0.175921,236703.000000,157864.000000
1652.039924,0.173961,228171.000000,152862.000000
1655.948635,0.173397,215408.000000,144499.000000
1658.875233,0.171685,204937.000000,138018.000000
1661.797599,0.171054,193395.000000,130434.000000
1664.715734,0.167537,179728.000000,122202.000000
1667.629638,0.166604,163642.000000,111504.000000
1670.539311,0.160817,146312.000000,101033.000000
1673.444753,0.160007,128451.000000,88865.000000
1677.312093,0.154353,105080.000000,73649.000000
1680.207662,0.156252,88906.000000,62041.000000
1683.099000,0.159993,75033.000000,51911.000000
1685.986106,0.166052,63520.000000,43337.000000
1688.868982,0.174570,53714.000000,35935.000000
1691.747626,0.172770,45653.000000,30669.000000
1694.622039,0.177798,39137.000000,25989.000000
1697.492221,0.176348,33776.000000,22504.000000
1701.312548,0.182763,28175.000000,18497.000000
