Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:52:7,,
Header Version:,1,,
System Temp (C):,30.95,,
Detector Temp (C):,30.42,,
Humidity (%):,4.29,,
Lamp PD:,3829,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.738,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.042940,108485.000000,98272.000000
905.375756,0.049154,121306.000000,108325.000000
909.237442,0.049682,131909.000000,117650.000000
913.094897,0.051159,143299.000000,127375.000000
916.948121,0.049241,156982.000000,140155.000000
922.079171,0.048848,179937.000000,160795.000000
925.922522,0.050288,200504.000000,178581.000000
929.761641,0.051572,222660.000000,197729.000000
933.596530,0.052415,244426.000000,216637.000000
937.427188,0.050904,263972.000000,234776.000000
941.253614,0.051423,281845.000000,250373.000000
945.075809,0.052047,297271.000000,263697.000000
950.165487,0.052414,315605.000000,279724.000000
953.977810,0.052134,328029.000000,290923.000000
957.785901,0.053047,340470.000000,301323.000000
961.589761,0.053467,352317.000000,311506.000000
965.389390,0.053336,363056.000000,321098.000000
969.184788,0.054455,373162.000000,329187.000000
972.975955,0.054513,382632.000000,337496.000000
976.762890,0.055773,391202.000000,344055.000000
981.805555,0.056215,400190.000000,351602.000000
985.582618,0.056874,406088.000000,356243.000000
989.355450,0.058038,410162.000000,358854.000000
993.124050,0.058379,412868.000000,360938.000000
996.888419,0.058662,414263.000000,361921.000000
1000.648557,0.059524,415476.000000,362261.000000
1004.404464,0.060113,415479.000000,361773.000000
1009.405758,0.062211,414358.000000,359058.000000
1013.151792,0.062672,412923.000000,357435.000000
1016.893595,0.062575,411526.000000,356305.000000
1020.631167,0.063099,409066.000000,353748.000000
1024.364507,0.063529,406777.000000,351421.000000
1028.093617,0.062921,404427.000000,349880.000000
1031.818495,0.061491,401911.000000,348850.000000
1036.778417,0.061190,398410.000000,346051.000000
1040.493423,0.060785,396204.000000,344456.000000
1044.204197,0.060167,394236.000000,343233.000000
1047.910740,0.060503,392042.000000,341059.000000
1051.613052,0.058553,389823.000000,340655.000000
1055.311133,0.058784,388234.000000,339086.000000
1059.004983,0.058046,387599.000000,339107.000000
1063.923534,0.056429,386688.000000,339572.000000
1067.607511,0.055483,386598.000000,340233.000000
1071.287257,0.055303,387377.000000,341060.000000
1074.962771,0.054047,388536.000000,343071.000000
1078.634055,0.053849,389855.000000,344393.000000
1082.301107,0.052920,391215.000000,346334.000000
1085.963928,0.052319,393215.000000,348587.000000
1090.841108,0.051636,396270.000000,351848.000000
1094.494056,0.051251,398760.000000,354373.000000
1098.142773,0.050747,400987.000000,356766.000000
1101.787259,0.050706,403477.000000,359015.000000
1105.427514,0.050571,406116.000000,361476.000000
1109.063538,0.050164,407701.000000,363227.000000
1112.695330,0.049461,409859.000000,365741.000000
1117.531139,0.049937,412494.000000,367689.000000
1121.153058,0.051175,414909.000000,368789.000000
1124.770747,0.051367,416559.000000,370092.000000
1128.384204,0.052773,418532.000000,370643.000000
1131.993431,0.054339,419956.000000,370565.000000
1135.598426,0.055909,421946.000000,370978.000000
1139.199190,0.058864,423881.000000,370152.000000
1143.993626,0.061676,426786.000000,370283.000000
1147.584518,0.062571,428617.000000,371106.000000
1151.171178,0.064388,431169.000000,371757.000000
1154.753606,0.065440,433579.000000,372931.000000
1158.331804,0.067438,436264.000000,373518.000000
1161.905771,0.070030,439132.000000,373736.000000
1165.475506,0.072828,442389.000000,374090.000000
1169.041010,0.076126,446101.000000,374375.000000
1173.788434,0.080239,451929.000000,375691.000000
1177.344065,0.083158,456026.000000,376558.000000
1180.895466,0.085429,461306.000000,378931.000000
1184.442635,0.087797,467657.000000,382059.000000
1187.985573,0.088404,473969.000000,386675.000000
1191.524279,0.088038,479856.000000,391808.000000
1195.058755,0.087294,487372.000000,398627.000000
1199.764807,0.085929,497347.000000,408066.000000
1203.289410,0.084050,504311.000000,415574.000000
1206.809782,0.083680,511507.000000,421863.000000
1210.325922,0.081744,519078.000000,430020.000000
1213.837832,0.080909,527163.000000,437558.000000
1217.345510,0.080065,534208.000000,444268.000000
1220.848957,0.078884,540472.000000,450702.000000
1225.513638,0.077441,549929.000000,460114.000000
1229.007212,0.077019,556888.000000,466390.000000
1232.496555,0.075945,562180.000000,471987.000000
1235.981667,0.075029,567975.000000,477859.000000
1239.462548,0.073954,574815.000000,484813.000000
