Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:55:3,,
Header Version:,1,,
System Temp (C):,32.22,,
Detector Temp (C):,30.48,,
Humidity (%):,3.13,,
Lamp PD:,3825,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.670,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.045248,108485.000000,97751.000000
905.375756,0.051183,121306.000000,107820.000000
909.237442,0.051677,131909.000000,117111.000000
913.094897,0.052847,143299.000000,126881.000000
916.948121,0.051665,156982.000000,139375.000000
922.079171,0.052069,179937.000000,159607.000000
925.922522,0.053001,200504.000000,177469.000000
929.761641,0.053288,222660.000000,196949.000000
933.596530,0.054028,244426.000000,215834.000000
937.427188,0.053898,263972.000000,233163.000000
941.253614,0.054750,281845.000000,248462.000000
945.075809,0.054343,297271.000000,262307.000000
950.165487,0.054386,315605.000000,278457.000000
953.977810,0.054181,328029.000000,289555.000000
957.785901,0.054655,340470.000000,300209.000000
961.589761,0.055282,352317.000000,310207.000000
965.389390,0.055143,363056.000000,319765.000000
969.184788,0.056132,373162.000000,327918.000000
972.975955,0.056494,382632.000000,335960.000000
976.762890,0.056600,391202.000000,343401.000000
981.805555,0.057574,400190.000000,350503.000000
985.582618,0.057688,406088.000000,355576.000000
989.355450,0.059214,410162.000000,357883.000000
993.124050,0.059413,412868.000000,360079.000000
996.888419,0.060232,414263.000000,360615.000000
1000.648557,0.061778,415476.000000,360386.000000
1004.404464,0.061878,415479.000000,360306.000000
1009.405758,0.063521,414358.000000,357977.000000
1013.151792,0.063760,412923.000000,356541.000000
1016.893595,0.064088,411526.000000,355066.000000
1020.631167,0.064700,409066.000000,352447.000000
1024.364507,0.064333,406777.000000,350771.000000
1028.093617,0.063668,404427.000000,349279.000000
1031.818495,0.063175,401911.000000,347500.000000
1036.778417,0.063157,398410.000000,344487.000000
1040.493423,0.062522,396204.000000,343081.000000
1044.204197,0.061961,394236.000000,341818.000000
1047.910740,0.061541,392042.000000,340245.000000
1051.613052,0.061046,389823.000000,338705.000000
1055.311133,0.060016,388234.000000,338125.000000
1059.004983,0.058998,387599.000000,338364.000000
1063.923534,0.058210,386688.000000,338182.000000
1067.607511,0.057112,386598.000000,338959.000000
1071.287257,0.056296,387377.000000,340281.000000
1074.962771,0.055248,388536.000000,342124.000000
1078.634055,0.055243,389855.000000,343289.000000
1082.301107,0.054048,391215.000000,345436.000000
1085.963928,0.053063,393215.000000,347990.000000
1090.841108,0.052471,396270.000000,351172.000000
1094.494056,0.052120,398760.000000,353665.000000
1098.142773,0.051349,400987.000000,356272.000000
1101.787259,0.051559,403477.000000,358311.000000
1105.427514,0.051412,406116.000000,360776.000000
1109.063538,0.050658,407701.000000,362814.000000
1112.695330,0.051124,409859.000000,364343.000000
1117.531139,0.051276,412494.000000,366557.000000
1121.153058,0.052025,414909.000000,368068.000000
1124.770747,0.052220,416559.000000,369366.000000
1128.384204,0.053522,418532.000000,370004.000000
1131.993431,0.055155,419956.000000,369870.000000
1135.598426,0.057419,421946.000000,369690.000000
1139.199190,0.059882,423881.000000,369285.000000
1143.993626,0.062351,426786.000000,369708.000000
1147.584518,0.063931,428617.000000,369946.000000
1151.171178,0.064420,431169.000000,371730.000000
1154.753606,0.066269,433579.000000,372220.000000
1158.331804,0.068517,436264.000000,372591.000000
1161.905771,0.070681,439132.000000,373176.000000
1165.475506,0.073215,442389.000000,373757.000000
1169.041010,0.076945,446101.000000,373670.000000
1173.788434,0.081013,451929.000000,375022.000000
1177.344065,0.083844,456026.000000,375963.000000
1180.895466,0.086295,461306.000000,378176.000000
1184.442635,0.088185,467657.000000,381718.000000
1187.985573,0.088545,473969.000000,386549.000000
1191.524279,0.088800,479856.000000,391121.000000
1195.058755,0.087733,487372.000000,398224.000000
1199.764807,0.086545,497347.000000,407488.000000
1203.289410,0.084896,504311.000000,414765.000000
1206.809782,0.084138,511507.000000,421418.000000
1210.325922,0.082212,519078.000000,429557.000000
1213.837832,0.081608,527163.000000,436855.000000
1217.345510,0.080327,534208.000000,444000.000000
1220.848957,0.079227,540472.000000,450346.000000
1225.513638,0.078607,549929.000000,458881.000000
1229.007212,0.077459,556888.000000,465917.000000
1232.496555,0.076482,562180.000000,471404.000000
1235.981667,0.075694,567975.000000,477128.000000
1239.462548,0.074651,574815.000000,484035.000000
1242.939198,0.073418,582782.000000,492139.000000
1246.411616,0.072337,591476.000000,500726.000000
1251.034925,0.072136,604016.000000,511579.000000
1254.497471,0.072224,612289.000000,518480.000000
1257.955786,0.072462,619125.000000,523982.000000
1261.409869,0.073410,624551.000000,527422.000000
1264.859721,0.073766,629900.000000,531503.000000
1268.305342,0.074102,634345.000000,534840.000000
1271.746732,0.075345,638574.000000,536866.000000
1276.328670,0.075720,642499.000000,539700.000000
1279.760187,0.075448,645905.000000,542901.000000
1283.187473,0.074962,648307.000000,545530.000000
1286.610528,0.074021,650446.000000,548517.000000
1290.029352,0.073742,652132.000000,550293.000000
1293.443944,0.073436,653907.000000,552179.000000
1296.854305,0.073033,655963.000000,554430.000000
1301.394872,0.072720,657349.000000,556002.000000
1304.795360,0.073010,657558.000000,555807.000000
1308.191618,0.073289,658515.000000,556258.000000
1311.583644,0.073283,658804.000000,556510.000000
1314.971439,0.074463,659011.000000,555175.000000
1318.355003,0.074725,658272.000000,554218.000000
1321.734336,0.074908,658022.000000,553774.000000
1326.233531,0.076100,657870.000000,552129.000000
1329.602991,0.077175,656482.000000,549602.000000
1332.968219,0.078516,654926.000000,546608.000000
1336.329217,0.079694,653727.000000,544130.000000
1339.685984,0.081966,652497.000000,540272.000000
1343.038519,0.083807,649913.000000,535856.000000
1346.386823,0.086031,647671.000000,531280.000000
1349.730896,0.088539,645338.000000,526318.000000
1354.183078,0.092086,641175.000000,518669.000000
1357.517278,0.094686,638376.000000,513323.000000
1360.847247,0.097007,635805.000000,508531.000000
1364.172985,0.099537,633413.000000,503674.000000
1367.494492,0.102096,631026.000000,498829.000000
1370.811767,0.104995,628050.000000,493173.000000
1374.124812,0.107803,625034.000000,487642.000000
1378.535622,0.111641,620272.000000,479668.000000
1381.838794,0.115923,616892.000000,472374.000000
1385.137734,0.119897,613613.000000,465583.000000
1388.432444,0.125566,611526.000000,457983.000000
1391.722922,0.131568,610663.000000,451059.000000
1395.009169,0.137790,610634.000000,444622.000000
1398.291185,0.143565,611700.000000,439515.000000
1402.660624,0.151823,614051.000000,432894.000000
1405.932767,0.159038,616268.000000,427299.000000
1409.200679,0.165719,617795.000000,421818.000000
1412.464359,0.171457,618872.000000,417007.000000
1415.723809,0.176983,619795.000000,412349.000000
1418.979027,0.182022,620495.000000,408053.000000
1422.230015,0.185958,621087.000000,404757.000000
1426.558082,0.190459,621375.000000,400770.000000
1429.799197,0.193530,621616.000000,398100.000000
1433.036080,0.197139,622129.000000,395131.000000
1436.268732,0.198850,621526.000000,393196.000000
1439.497153,0.201302,621113.000000,390723.000000
1442.721343,0.204134,620921.000000,388063.000000
1445.941302,0.206426,620270.000000,385616.000000
1450.227998,0.210458,618860.000000,381184.000000
1453.438084,0.213624,617697.000000,377704.000000
1456.643939,0.216754,616264.000000,374122.000000
1459.845562,0.218895,614413.000000,371164.000000
1463.042954,0.221765,612307.000000,367455.000000
1466.236116,0.224593,610032.000000,363714.000000
1469.425046,0.227784,607345.000000,359461.000000
1473.670371,0.232947,603789.000000,353133.000000
1476.849428,0.237515,601175.000000,347925.000000
1480.024254,0.242856,597737.000000,341707.000000
1483.194849,0.249524,594479.000000,334667.000000
1486.361213,0.254940,591232.000000,328714.000000
1489.523345,0.260103,587853.000000,322973.000000
1492.681247,0.264654,583875.000000,317443.000000
1496.885200,0.267063,578062.000000,312544.000000
1500.033229,0.268083,574159.000000,309706.000000
1503.177027,0.268501,570285.000000,307320.000000
1506.316593,0.267260,565444.000000,305583.000000
1509.451928,0.266668,560571.000000,303363.000000
1512.583032,0.264699,555821.000000,302159.000000
1515.709905,0.262372,550344.000000,300789.000000
1519.872487,0.259505,543983.000000,299282.000000
1522.989487,0.256983,538764.000000,298137.000000
1526.102256,0.254414,533692.000000,297082.000000
1529.210794,0.251191,527902.000000,296048.000000
1532.315101,0.247882,521886.000000,294913.000000
1535.415176,0.244904,515888.000000,293529.000000
1538.511021,0.241092,509987.000000,292730.000000
1541.602634,0.236784,503936.000000,292140.000000
1545.718203,0.233005,494694.000000,289289.000000
1548.799943,0.229804,488378.000000,287708.000000
1551.877452,0.226334,481832.000000,286129.000000
1554.950730,0.225238,474989.000000,282778.000000
1558.019777,0.222615,467818.000000,280196.000000
1561.084593,0.221240,460730.000000,276826.000000
1564.145177,0.220711,454170.000000,273217.000000
1568.219375,0.219526,444181.000000,267938.000000
1571.270087,0.218636,436947.000000,264115.000000
1574.316568,0.217611,429598.000000,260286.000000
1577.358817,0.216228,422039.000000,256522.000000
1580.396835,0.213623,414375.000000,253379.000000
1583.430622,0.212181,406354.000000,249301.000000
1586.460178,0.210224,398475.000000,245571.000000
1590.493005,0.208230,388982.000000,240824.000000
1593.512688,0.205346,380708.000000,237272.000000
1596.528140,0.202829,372727.000000,233648.000000
1599.539361,0.200551,365060.000000,230045.000000
1602.546350,0.197869,357543.000000,226704.000000
1605.549109,0.196086,349495.000000,222513.000000
1608.547636,0.194297,341154.000000,218099.000000
