Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:29:9,,
Header Version:,1,,
System Temp (C):,34.09,,
Detector Temp (C):,34.9,,
Humidity (%):,1.66,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.670,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1364.172985,0.112341,633413.000000,489042.000000
1367.494492,0.114599,631026.000000,484672.000000
1370.811767,0.117051,628050.000000,479671.000000
1374.124812,0.119380,625034.000000,474814.000000
1378.535622,0.121353,620272.000000,469061.000000
1381.838794,0.124504,616892.000000,463132.000000
1385.137734,0.127699,613613.000000,457294.000000
1388.432444,0.130859,611526.000000,452435.000000
1391.722922,0.135406,610663.000000,447091.000000
1395.009169,0.139048,610634.000000,443336.000000
1398.291185,0.143847,611700.000000,439229.000000
1402.660624,0.149525,614051.000000,435191.000000
1405.932767,0.154439,616268.000000,431848.000000
1409.200679,0.159288,617795.000000,428111.000000
1412.464359,0.163455,618872.000000,424762.000000
1415.723809,0.167253,619795.000000,421692.000000
1418.979027,0.171104,620495.000000,418441.000000
1422.230015,0.174559,621087.000000,415521.000000
1426.558082,0.178085,621375.000000,412353.000000
1429.799197,0.180119,621616.000000,410585.000000
1433.036080,0.183184,622129.000000,408034.000000
1436.268732,0.185271,621526.000000,405684.000000
1439.497153,0.186941,621113.000000,403859.000000
1442.721343,0.189494,620921.000000,401368.000000
1445.941302,0.191896,620270.000000,398735.000000
1450.227998,0.195717,618860.000000,394344.000000
1453.438084,0.198220,617697.000000,391341.000000
1456.643939,0.201211,616264.000000,387754.000000
1459.845562,0.204191,614413.000000,383945.000000
1463.042954,0.207183,612307.000000,380002.000000
1466.236116,0.209963,610032.000000,376175.000000
1469.425046,0.214099,607345.000000,370968.000000
1473.670371,0.220454,603789.000000,363439.000000
1476.849428,0.226046,601175.000000,357236.000000
1480.024254,0.232572,597737.000000,349895.000000
1483.194849,0.238603,594479.000000,343189.000000
1486.361213,0.244511,591232.000000,336703.000000
1489.523345,0.249463,587853.000000,330983.000000
1492.681247,0.252370,583875.000000,326550.000000
1496.885200,0.254792,578062.000000,321501.000000
1500.033229,0.255391,574159.000000,318890.000000
1503.177027,0.255356,570285.000000,316764.000000
1506.316593,0.254005,565444.000000,315054.000000
1509.451928,0.253004,560571.000000,313059.000000
1512.583032,0.251360,555821.000000,311584.000000
1515.709905,0.249336,550344.000000,309955.000000
1519.872487,0.246385,543983.000000,308461.000000
1522.989487,0.243377,538764.000000,307625.000000
1526.102256,0.240971,533692.000000,306422.000000
1529.210794,0.238124,527902.000000,305091.000000
1532.315101,0.235778,521886.000000,303248.000000
1535.415176,0.232543,515888.000000,302004.000000
1538.511021,0.229499,509987.000000,300649.000000
1541.602634,0.227258,503936.000000,298619.000000
1545.718203,0.222885,494694.000000,296109.000000
1548.799943,0.219833,488378.000000,294390.000000
1551.877452,0.218433,481832.000000,291382.000000
1554.950730,0.216646,474989.000000,288428.000000
1558.019777,0.214259,467818.000000,285639.000000
1561.084593,0.213632,460730.000000,281718.000000
1564.145177,0.212794,454170.000000,278243.000000
1568.219375,0.211380,444181.000000,273011.000000
1571.270087,0.211250,436947.000000,268645.000000
1574.316568,0.210189,429598.000000,264773.000000
1577.358817,0.208423,422039.000000,261174.000000
1580.396835,0.208034,414375.000000,256661.000000
1583.430622,0.206208,406354.000000,252753.000000
1586.460178,0.205101,398475.000000,248485.000000
1590.493005,0.203456,388982.000000,243486.000000
1593.512688,0.201178,380708.000000,239560.000000
1596.528140,0.198891,372727.000000,235776.000000
1599.539361,0.196530,365060.000000,232185.000000
1602.546350,0.195761,357543.000000,227807.000000
1605.549109,0.193414,349495.000000,223886.000000
1608.547636,0.191093,341154.000000,219714.000000
1612.539091,0.190008,330877.000000,213628.000000
1615.527746,0.186982,322904.000000,209938.000000
1618.512169,0.188444,315116.000000,204186.000000
1621.492362,0.185760,307217.000000,200302.000000
1624.468323,0.184559,299481.000000,195799.000000
1627.440053,0.184266,292112.000000,191110.000000
1630.407551,0.181902,284245.000000,186978.000000
1634.357635,0.181331,274079.000000,180528.000000
1637.315261,0.180403,266916.000000,176186.000000
1640.268656,0.180058,259612.000000,171501.000000
1643.217819,0.179299,251804.000000,166634.000000
1646.162752,0.178759,244348.000000,161901.000000
1649.103453,0.177177,236703.000000,157408.000000
1652.039924,0.175484,228171.000000,152327.000000
1655.948635,0.172301,215408.000000,144864.000000
1658.875233,0.167906,204937.000000,139224.000000
1661.797599,0.164223,193395.000000,132502.000000
1664.715734,0.156748,179728.000000,125276.000000
1667.629638,0.143126,163642.000000,117698.000000
1670.539311,0.128300,146312.000000,108888.000000
1673.444753,0.113045,128451.000000,99013.000000
1677.312093,0.094098,105080.000000,84610.000000
1680.207662,0.081175,88906.000000,73749.000000
1683.099000,0.076885,75033.000000,62859.000000
1685.986106,0.078643,63520.000000,52999.000000
1688.868982,0.075892,53714.000000,45102.000000
1691.747626,0.085160,45653.000000,37524.000000
1694.622039,0.091391,39137.000000,31710.000000
1697.492221,0.089086,33776.000000,27512.000000
1701.312548,0.098319,28175.000000,22467.000000
