Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:37:45,,
Header Version:,1,,
System Temp (C):,34.13,,
Detector Temp (C):,35.08,,
Humidity (%):,1.56,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.677,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.067574,108485.000000,92853.000000
905.375756,0.073392,121306.000000,102445.000000
909.237442,0.077813,131909.000000,110271.000000
913.094897,0.078247,143299.000000,119673.000000
916.948121,0.079418,156982.000000,130747.000000
922.079171,0.079023,179937.000000,150002.000000
925.922522,0.082143,200504.000000,165951.000000
929.761641,0.082086,222660.000000,184313.000000
933.596530,0.082990,244426.000000,201910.000000
937.427188,0.080499,263972.000000,219310.000000
941.253614,0.079194,281845.000000,234864.000000
945.075809,0.079099,297271.000000,247773.000000
950.165487,0.077154,315605.000000,264235.000000
953.977810,0.077134,328029.000000,274649.000000
957.785901,0.076392,340470.000000,285553.000000
961.589761,0.077586,352317.000000,294678.000000
965.389390,0.077129,363056.000000,303980.000000
969.184788,0.077474,373162.000000,312193.000000
972.975955,0.077314,382632.000000,320234.000000
976.762890,0.077803,391202.000000,327038.000000
981.805555,0.078730,400190.000000,333838.000000
985.582618,0.078526,406088.000000,338918.000000
989.355450,0.078870,410162.000000,342047.000000
993.124050,0.079497,412868.000000,343807.000000
996.888419,0.080166,414263.000000,344437.000000
1000.648557,0.081171,415476.000000,344647.000000
1004.404464,0.081953,415479.000000,344030.000000
1009.405758,0.083356,414358.000000,341995.000000
1013.151792,0.083831,412923.000000,340438.000000
1016.893595,0.084135,411526.000000,339049.000000
1020.631167,0.084283,409066.000000,336907.000000
1024.364507,0.084371,406777.000000,334954.000000
1028.093617,0.083798,404427.000000,333459.000000
1031.818495,0.083865,401911.000000,331333.000000
1036.778417,0.083534,398410.000000,328697.000000
1040.493423,0.083476,396204.000000,326921.000000
1044.204197,0.082891,394236.000000,325736.000000
1047.910740,0.083181,392042.000000,323707.000000
1051.613052,0.082215,389823.000000,322591.000000
1055.311133,0.082460,388234.000000,321095.000000
1059.004983,0.081684,387599.000000,321143.000000
1063.923534,0.081130,386688.000000,320797.000000
1067.607511,0.079934,386598.000000,321607.000000
1071.287257,0.079996,387377.000000,322209.000000
1074.962771,0.079572,388536.000000,323489.000000
1078.634055,0.079232,389855.000000,324841.000000
1082.301107,0.077435,391215.000000,327326.000000
1085.963928,0.076510,393215.000000,329701.000000
1090.841108,0.076424,396270.000000,332328.000000
1094.494056,0.074976,398760.000000,335533.000000
1098.142773,0.075074,400987.000000,337331.000000
1101.787259,0.074414,403477.000000,339942.000000
1105.427514,0.074116,406116.000000,342400.000000
1109.063538,0.073716,407701.000000,344053.000000
1112.695330,0.072613,409859.000000,346754.000000
1117.531139,0.072702,412494.000000,348912.000000
1121.153058,0.072870,414909.000000,350819.000000
1124.770747,0.073400,416559.000000,351784.000000
1128.384204,0.074355,418532.000000,352674.000000
1131.993431,0.075518,419956.000000,352928.000000
1135.598426,0.076419,421946.000000,353865.000000
1139.199190,0.077973,423881.000000,354218.000000
1143.993626,0.079977,426786.000000,355004.000000
1147.584518,0.081092,428617.000000,355613.000000
1151.171178,0.081625,431169.000000,357291.000000
1154.753606,0.081871,433579.000000,359085.000000
1158.331804,0.083206,436264.000000,360200.000000
1161.905771,0.085628,439132.000000,360551.000000
1165.475506,0.087534,442389.000000,361635.000000
1169.041010,0.089880,446101.000000,362705.000000
1173.788434,0.092774,451929.000000,365003.000000
1177.344065,0.095083,456026.000000,366359.000000
1180.895466,0.097360,461306.000000,368663.000000
1184.442635,0.098887,467657.000000,372426.000000
1187.985573,0.100045,473969.000000,376448.000000
1191.524279,0.100419,479856.000000,380796.000000
1195.058755,0.100247,487372.000000,386913.000000
1199.764807,0.099532,497347.000000,395483.000000
1203.289410,0.098266,504311.000000,402191.000000
1206.809782,0.098196,511507.000000,407996.000000
1210.325922,0.097462,519078.000000,414735.000000
1213.837832,0.096960,527163.000000,421682.000000
1217.345510,0.096939,534208.000000,427338.000000
1220.848957,0.095886,540472.000000,433398.000000
1225.513638,0.094876,549929.000000,442008.000000
1229.007212,0.094382,556888.000000,448111.000000
1232.496555,0.093774,562180.000000,453003.000000
1235.981667,0.093389,567975.000000,458079.000000
1239.462548,0.092166,574815.000000,464903.000000
1242.939198,0.091433,582782.000000,472143.000000
1246.411616,0.090846,591476.000000,479834.000000
1251.034925,0.090923,604016.000000,489920.000000
1254.497471,0.091015,612289.000000,496525.000000
1257.955786,0.091611,619125.000000,501380.000000
1261.409869,0.091717,624551.000000,505651.000000
1264.859721,0.092624,629900.000000,508918.000000
1268.305342,0.092750,634345.000000,512360.000000
1271.746732,0.093692,638574.000000,514659.000000
