Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:22:41,,
Header Version:,1,,
System Temp (C):,33.95,,
Detector Temp (C):,34.69,,
Humidity (%):,1.76,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.665,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.068196,108485.000000,92720.000000
905.375756,0.075240,121306.000000,102010.000000
909.237442,0.077113,131909.000000,110449.000000
913.094897,0.077946,143299.000000,119756.000000
916.948121,0.078877,156982.000000,130910.000000
922.079171,0.079887,179937.000000,149704.000000
925.922522,0.082274,200504.000000,165901.000000
929.761641,0.082815,222660.000000,184004.000000
933.596530,0.082867,244426.000000,201967.000000
937.427188,0.080620,263972.000000,219249.000000
941.253614,0.080490,281845.000000,234164.000000
945.075809,0.079230,297271.000000,247698.000000
950.165487,0.078350,315605.000000,263508.000000
953.977810,0.078003,328029.000000,274100.000000
957.785901,0.079281,340470.000000,283660.000000
961.589761,0.078273,352317.000000,294212.000000
965.389390,0.078203,363056.000000,303229.000000
969.184788,0.078134,373162.000000,311719.000000
972.975955,0.078215,382632.000000,319570.000000
976.762890,0.079525,391202.000000,325744.000000
981.805555,0.079572,400190.000000,333192.000000
985.582618,0.080787,406088.000000,337158.000000
989.355450,0.080768,410162.000000,340555.000000
993.124050,0.080900,412868.000000,342698.000000
996.888419,0.081213,414263.000000,343608.000000
1000.648557,0.082701,415476.000000,343435.000000
1004.404464,0.083679,415479.000000,342665.000000
1009.405758,0.084138,414358.000000,341380.000000
1013.151792,0.085006,412923.000000,339518.000000
1016.893595,0.085339,411526.000000,338110.000000
1020.631167,0.085405,409066.000000,336038.000000
1024.364507,0.085350,406777.000000,334200.000000
1028.093617,0.084846,404427.000000,332655.000000
1031.818495,0.085391,401911.000000,330171.000000
1036.778417,0.085321,398410.000000,327348.000000
1040.493423,0.084237,396204.000000,326349.000000
1044.204197,0.084740,394236.000000,324352.000000
1047.910740,0.083928,392042.000000,323150.000000
1051.613052,0.083947,389823.000000,321307.000000
1055.311133,0.083363,388234.000000,320428.000000
1059.004983,0.083098,387599.000000,320099.000000
1063.923534,0.082461,386688.000000,319816.000000
1067.607511,0.081849,386598.000000,320192.000000
1071.287257,0.081176,387377.000000,321335.000000
1074.962771,0.080362,388536.000000,322901.000000
1078.634055,0.080128,389855.000000,324172.000000
1082.301107,0.079261,391215.000000,325953.000000
1085.963928,0.078405,393215.000000,328265.000000
1090.841108,0.077711,396270.000000,331345.000000
1094.494056,0.076758,398760.000000,334159.000000
1098.142773,0.076360,400987.000000,336334.000000
1101.787259,0.076252,403477.000000,338506.000000
1105.427514,0.076079,406116.000000,340856.000000
1109.063538,0.075298,407701.000000,342802.000000
1112.695330,0.074318,409859.000000,345395.000000
1117.531139,0.074353,412494.000000,347588.000000
1121.153058,0.075049,414909.000000,349063.000000
1124.770747,0.075088,416559.000000,350420.000000
1128.384204,0.075737,418532.000000,351554.000000
1131.993431,0.077564,419956.000000,351269.000000
1135.598426,0.079113,421946.000000,351677.000000
1139.199190,0.079571,423881.000000,352917.000000
1143.993626,0.081711,426786.000000,353589.000000
1147.584518,0.082649,428617.000000,354340.000000
1151.171178,0.083558,431169.000000,355705.000000
1154.753606,0.084576,433579.000000,356855.000000
1158.331804,0.085710,436264.000000,358129.000000
1161.905771,0.087557,439132.000000,358953.000000
1165.475506,0.090363,442389.000000,359287.000000
1169.041010,0.091866,446101.000000,361050.000000
1173.788434,0.095137,451929.000000,363022.000000
1177.344065,0.096768,456026.000000,364940.000000
1180.895466,0.099672,461306.000000,366705.000000
1184.442635,0.101553,467657.000000,370147.000000
1187.985573,0.102258,473969.000000,374535.000000
1191.524279,0.101993,479856.000000,379418.000000
1195.058755,0.102073,487372.000000,385290.000000
1199.764807,0.101843,497347.000000,393384.000000
1203.289410,0.101078,504311.000000,399595.000000
1206.809782,0.100438,511507.000000,405895.000000
1210.325922,0.099814,519078.000000,412495.000000
1213.837832,0.099334,527163.000000,419383.000000
1217.345510,0.098311,534208.000000,425990.000000
1220.848957,0.097972,540472.000000,431322.000000
1225.513638,0.097085,549929.000000,439766.000000
1229.007212,0.096640,556888.000000,445787.000000
1232.496555,0.095819,562180.000000,450875.000000
1235.981667,0.095101,567975.000000,456277.000000
1239.462548,0.094666,574815.000000,462234.000000
1242.939198,0.093515,582782.000000,469885.000000
1246.411616,0.093099,591476.000000,477351.000000
1251.034925,0.092654,604016.000000,487972.000000
1254.497471,0.093048,612289.000000,494206.000000
1257.955786,0.093238,619125.000000,499506.000000
1261.409869,0.094055,624551.000000,502936.000000
1264.859721,0.094345,629900.000000,506905.000000
1268.305342,0.095030,634345.000000,509678.000000
1271.746732,0.095603,638574.000000,512399.000000
1276.328670,0.095647,642499.000000,515496.000000
1279.760187,0.095539,645905.000000,518358.000000
1283.187473,0.095091,648307.000000,520822.000000
1286.610528,0.094851,650446.000000,522830.000000
1290.029352,0.094321,652132.000000,524825.000000
1293.443944,0.093932,653907.000000,526725.000000
1296.854305,0.093949,655963.000000,528360.000000
1301.394872,0.093528,657349.000000,529990.000000
1304.795360,0.093265,657558.000000,530480.000000
1308.191618,0.093438,658515.000000,531041.000000
1311.583644,0.093958,658804.000000,530638.000000
1314.971439,0.094559,659011.000000,530071.000000
1318.355003,0.094406,658272.000000,529663.000000
1321.734336,0.094955,658022.000000,528793.000000
1326.233531,0.096018,657870.000000,527378.000000
1329.602991,0.096723,656482.000000,525412.000000
1332.968219,0.097799,654926.000000,522869.000000
1336.329217,0.098508,653727.000000,521061.000000
1339.685984,0.099889,652497.000000,518429.000000
1343.038519,0.101513,649913.000000,514449.000000
1346.386823,0.103983,647671.000000,509767.000000
1349.730896,0.105515,645338.000000,506142.000000
1354.183078,0.108361,641175.000000,499592.000000
1357.517278,0.110247,638376.000000,495256.000000
1360.847247,0.112296,635805.000000,490940.000000
1364.172985,0.114378,633413.000000,486753.000000
1367.494492,0.116857,631026.000000,482159.000000
1370.811767,0.119166,628050.000000,477340.000000
1374.124812,0.120854,625034.000000,473205.000000
1378.535622,0.123977,620272.000000,466235.000000
1381.838794,0.126857,616892.000000,460630.000000
1385.137734,0.129799,613613.000000,455088.000000
1388.432444,0.134120,611526.000000,449050.000000
1391.722922,0.138271,610663.000000,444151.000000
1395.009169,0.142652,610634.000000,439672.000000
1398.291185,0.146708,611700.000000,436345.000000
1402.660624,0.153691,614051.000000,431036.000000
1405.932767,0.158398,616268.000000,427929.000000
1409.200679,0.163165,617795.000000,424306.000000
1412.464359,0.168056,618872.000000,420286.000000
1415.723809,0.171919,619795.000000,417185.000000
1418.979027,0.175614,620495.000000,414118.000000
1422.230015,0.179268,621087.000000,411040.000000
1426.558082,0.183187,621375.000000,407537.000000
1429.799197,0.185662,621616.000000,405378.000000
1433.036080,0.188393,622129.000000,403169.000000
1436.268732,0.190702,621526.000000,400643.000000
1439.497153,0.192008,621113.000000,399174.000000
1442.721343,0.194853,620921.000000,396445.000000
1445.941302,0.196739,620270.000000,394314.000000
1450.227998,0.200475,618860.000000,390047.000000
1453.438084,0.202599,617697.000000,387415.000000
1456.643939,0.206745,616264.000000,382844.000000
1459.845562,0.209270,614413.000000,379481.000000
1463.042954,0.211436,612307.000000,376299.000000
1466.236116,0.214830,610032.000000,371983.000000
1469.425046,0.218410,607345.000000,367304.000000
1473.670371,0.223715,603789.000000,360720.000000
1476.849428,0.229859,601175.000000,354113.000000
1480.024254,0.235518,597737.000000,347530.000000
1483.194849,0.241566,594479.000000,340856.000000
1486.361213,0.247394,591232.000000,334475.000000
1489.523345,0.252351,587853.000000,328789.000000
1492.681247,0.255488,583875.000000,324214.000000
1496.885200,0.257941,578062.000000,319178.000000
1500.033229,0.258151,574159.000000,316870.000000
1503.177027,0.258707,570285.000000,314329.000000
1506.316593,0.257062,565444.000000,312844.000000
1509.451928,0.255985,560571.000000,310918.000000
1512.583032,0.254436,555821.000000,309385.000000
1515.709905,0.252143,550344.000000,307958.000000
1519.872487,0.248753,543983.000000,306784.000000
1522.989487,0.246436,538764.000000,305466.000000
1526.102256,0.243692,533692.000000,304508.000000
1529.210794,0.241068,527902.000000,303030.000000
1532.315101,0.238074,521886.000000,301649.000000
1535.415176,0.235164,515888.000000,300187.000000
1538.511021,0.232247,509987.000000,298753.000000
1541.602634,0.229756,503936.000000,296906.000000
1545.718203,0.225234,494694.000000,294512.000000
1548.799943,0.223235,488378.000000,292093.000000
1551.877452,0.220850,481832.000000,289765.000000
1554.950730,0.218197,474989.000000,287400.000000
1558.019777,0.216861,467818.000000,283933.000000
1561.084593,0.216110,460730.000000,280115.000000
1564.145177,0.215413,454170.000000,276570.000000
1568.219375,0.214435,444181.000000,271097.000000
1571.270087,0.213373,436947.000000,267335.000000
1574.316568,0.212503,429598.000000,263366.000000
1577.358817,0.211475,422039.000000,259345.000000
1580.396835,0.209308,414375.000000,255909.000000
1583.430622,0.208503,406354.000000,251421.000000
1586.460178,0.206763,398475.000000,247536.000000
1590.493005,0.204668,388982.000000,242807.000000
1593.512688,0.203000,380708.000000,238557.000000
1596.528140,0.200846,372727.000000,234717.000000
1599.539361,0.199330,365060.000000,230693.000000
1602.546350,0.196801,357543.000000,227262.000000
1605.549109,0.195397,349495.000000,222866.000000
1608.547636,0.193620,341154.000000,218439.000000
1612.539091,0.192265,330877.000000,212521.000000
1615.527746,0.189283,322904.000000,208829.000000
1618.512169,0.188466,315116.000000,204176.000000
1621.492362,0.186926,307217.000000,199765.000000
1624.468323,0.186664,299481.000000,194852.000000
1627.440053,0.186220,292112.000000,190252.000000
1630.407551,0.185752,284245.000000,185328.000000
1634.357635,0.183790,274079.000000,179509.000000
1637.315261,0.181541,266916.000000,175725.000000
1640.268656,0.183403,259612.000000,170185.000000
1643.217819,0.179737,251804.000000,166466.000000
1646.162752,0.180555,244348.000000,161233.000000
1649.103453,0.180100,236703.000000,156352.000000
1652.039924,0.178559,228171.000000,151252.000000
1655.948635,0.173851,215408.000000,144348.000000
1658.875233,0.171304,204937.000000,138139.000000
1661.797599,0.167364,193395.000000,131547.000000
1664.715734,0.158332,179728.000000,124820.000000
1667.629638,0.145442,163642.000000,117072.000000
1670.539311,0.130531,146312.000000,108330.000000
1673.444753,0.114363,128451.000000,98713.000000
1677.312093,0.096260,105080.000000,84190.000000
1680.207662,0.083454,88906.000000,73363.000000
1683.099000,0.077902,75033.000000,62712.000000
1685.986106,0.081553,63520.000000,52645.000000
1688.868982,0.082030,53714.000000,44469.000000
1691.747626,0.082299,45653.000000,37772.000000
1694.622039,0.088729,39137.000000,31905.000000
1697.492221,0.090794,33776.000000,27404.000000
1701.312548,0.101871,28175.000000,22284.000000
