Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:1:42,,
Header Version:,1,,
System Temp (C):,33.42,,
Detector Temp (C):,32.42,,
Humidity (%):,2.44,,
Lamp PD:,3820,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.728,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.035391,108485.000000,99995.000000
905.375756,0.039292,121306.000000,110813.000000
909.237442,0.041075,131909.000000,120005.000000
913.094897,0.042210,143299.000000,130027.000000
916.948121,0.043329,156982.000000,142076.000000
922.079171,0.043498,179937.000000,162788.000000
925.922522,0.045352,200504.000000,180622.000000
929.761641,0.046918,222660.000000,199859.000000
933.596530,0.046381,244426.000000,219668.000000
937.427188,0.045722,263972.000000,237594.000000
941.253614,0.045827,281845.000000,253620.000000
945.075809,0.046366,297271.000000,267169.000000
950.165487,0.045382,315605.000000,284290.000000
953.977810,0.045159,328029.000000,295633.000000
957.785901,0.045922,340470.000000,306307.000000
961.589761,0.045624,352317.000000,317183.000000
965.389390,0.046426,363056.000000,326248.000000
969.184788,0.046369,373162.000000,335373.000000
972.975955,0.047526,382632.000000,342969.000000
976.762890,0.048102,391202.000000,350186.000000
981.805555,0.048021,400190.000000,358299.000000
985.582618,0.049006,406088.000000,362756.000000
989.355450,0.049108,410162.000000,366309.000000
993.124050,0.049877,412868.000000,368073.000000
996.888419,0.050453,414263.000000,368827.000000
1000.648557,0.051316,415476.000000,369173.000000
1004.404464,0.052153,415479.000000,368465.000000
1009.405758,0.053823,414358.000000,366060.000000
1013.151792,0.054609,412923.000000,364133.000000
1016.893595,0.055413,411526.000000,362230.000000
1020.631167,0.054912,409066.000000,360480.000000
1024.364507,0.054851,406777.000000,358513.000000
1028.093617,0.054932,404427.000000,356376.000000
1031.818495,0.054085,401911.000000,354850.000000
1036.778417,0.053612,398410.000000,352142.000000
1040.493423,0.053342,396204.000000,350410.000000
1044.204197,0.053303,394236.000000,348701.000000
1047.910740,0.052670,392042.000000,347266.000000
1051.613052,0.052377,389823.000000,345534.000000
1055.311133,0.051980,388234.000000,344440.000000
1059.004983,0.051447,387599.000000,344299.000000
1063.923534,0.050874,386688.000000,343943.000000
1067.607511,0.049648,386598.000000,344835.000000
1071.287257,0.048916,387377.000000,346113.000000
1074.962771,0.048337,388536.000000,347612.000000
1078.634055,0.048042,389855.000000,349029.000000
1082.301107,0.047268,391215.000000,350871.000000
1085.963928,0.046688,393215.000000,353136.000000
1090.841108,0.046110,396270.000000,356354.000000
1094.494056,0.045607,398760.000000,359008.000000
1098.142773,0.045134,400987.000000,361407.000000
1101.787259,0.044493,403477.000000,364188.000000
1105.427514,0.044342,406116.000000,366698.000000
1109.063538,0.043921,407701.000000,368486.000000
1112.695330,0.044039,409859.000000,370336.000000
1117.531139,0.044842,412494.000000,372028.000000
1121.153058,0.044966,414909.000000,374099.000000
1124.770747,0.045677,416559.000000,374973.000000
1128.384204,0.046764,418532.000000,375807.000000
1131.993431,0.048177,419956.000000,375861.000000
1135.598426,0.050678,421946.000000,375473.000000
1139.199190,0.051615,423881.000000,376382.000000
1143.993626,0.054990,426786.000000,376028.000000
1147.584518,0.055871,428617.000000,376876.000000
1151.171178,0.057043,431169.000000,378098.000000
1154.753606,0.058137,433579.000000,379255.000000
1158.331804,0.059781,436264.000000,380162.000000
1161.905771,0.062211,439132.000000,380526.000000
1165.475506,0.064313,442389.000000,381497.000000
1169.041010,0.067116,446101.000000,382223.000000
1173.788434,0.071140,451929.000000,383646.000000
1177.344065,0.073178,456026.000000,385311.000000
1180.895466,0.075229,461306.000000,387936.000000
1184.442635,0.077384,467657.000000,391330.000000
1187.985573,0.078204,473969.000000,395864.000000
1191.524279,0.077667,479856.000000,401277.000000
1195.058755,0.077490,487372.000000,407728.000000
1199.764807,0.076594,497347.000000,416932.000000
1203.289410,0.075591,504311.000000,423748.000000
1206.809782,0.075053,511507.000000,430327.000000
1210.325922,0.073958,519078.000000,437799.000000
1213.837832,0.073567,527163.000000,445018.000000
1217.345510,0.072637,534208.000000,451932.000000
1220.848957,0.071884,540472.000000,458025.000000
1225.513638,0.070907,549929.000000,467089.000000
1229.007212,0.070714,556888.000000,473210.000000
1232.496555,0.069394,562180.000000,479161.000000
1235.981667,0.069404,567975.000000,484089.000000
1239.462548,0.068060,574815.000000,491437.000000
1242.939198,0.066815,582782.000000,499679.000000
1246.411616,0.066758,591476.000000,507200.000000
1251.034925,0.066368,604016.000000,518419.000000
1254.497471,0.066465,612289.000000,525402.000000
1257.955786,0.067098,619125.000000,530494.000000
1261.409869,0.067489,624551.000000,534661.000000
1264.859721,0.068075,629900.000000,538513.000000
1268.305342,0.068852,634345.000000,541344.000000
1271.746732,0.069371,638574.000000,544303.000000
1276.328670,0.069937,642499.000000,546935.000000
1279.760187,0.069583,645905.000000,550283.000000
1283.187473,0.069099,648307.000000,552945.000000
1286.610528,0.068761,650446.000000,555201.000000
1290.029352,0.068287,652132.000000,557248.000000
1293.443944,0.067891,653907.000000,559275.000000
1296.854305,0.067962,655963.000000,560941.000000
1301.394872,0.067629,657349.000000,562557.000000
1304.795360,0.067564,657558.000000,562821.000000
1308.191618,0.067780,658515.000000,563359.000000
1311.583644,0.068061,658804.000000,563242.000000
1314.971439,0.068803,659011.000000,562457.000000
1318.355003,0.069166,658272.000000,561357.000000
1321.734336,0.069532,658022.000000,560672.000000
1326.233531,0.071032,657870.000000,558609.000000
1329.602991,0.071525,656482.000000,556798.000000
1332.968219,0.072733,654926.000000,553936.000000
1336.329217,0.073929,653727.000000,551401.000000
1339.685984,0.075914,652497.000000,547853.000000
1343.038519,0.078001,649913.000000,543068.000000
1346.386823,0.079856,647671.000000,538888.000000
1349.730896,0.082067,645338.000000,534220.000000
1354.183078,0.085597,641175.000000,526477.000000
1357.517278,0.087970,638376.000000,521323.000000
1360.847247,0.089913,635805.000000,516905.000000
1364.172985,0.092204,633413.000000,512251.000000
