Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:24:6,,
Header Version:,1,,
System Temp (C):,33.95,,
Detector Temp (C):,34.77,,
Humidity (%):,1.76,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.684,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1364.172985,0.113735,633413.000000,487475.000000
1367.494492,0.116154,631026.000000,482940.000000
1370.811767,0.118021,628050.000000,478601.000000
1374.124812,0.120578,625034.000000,473506.000000
1378.535622,0.123597,620272.000000,466643.000000
1381.838794,0.126273,616892.000000,461250.000000
1385.137734,0.129766,613613.000000,455123.000000
1388.432444,0.132983,611526.000000,450227.000000
1391.722922,0.137256,610663.000000,445190.000000
1395.009169,0.142170,610634.000000,440160.000000
1398.291185,0.146388,611700.000000,436667.000000
1402.660624,0.152188,614051.000000,432530.000000
1405.932767,0.157365,616268.000000,428948.000000
1409.200679,0.162555,617795.000000,424903.000000
1412.464359,0.166858,618872.000000,421447.000000
1415.723809,0.170842,619795.000000,418221.000000
1418.979027,0.174649,620495.000000,415039.000000
1422.230015,0.178429,621087.000000,411835.000000
1426.558082,0.181943,621375.000000,408706.000000
1429.799197,0.184222,621616.000000,406724.000000
1433.036080,0.186601,622129.000000,404836.000000
1436.268732,0.189220,621526.000000,402012.000000
1439.497153,0.191359,621113.000000,399771.000000
1442.721343,0.193238,620921.000000,397922.000000
1445.941302,0.195255,620270.000000,395663.000000
1450.227998,0.199198,618860.000000,391196.000000
1453.438084,0.202796,617697.000000,387239.000000
1456.643939,0.205567,616264.000000,383884.000000
1459.845562,0.207624,614413.000000,380922.000000
1463.042954,0.210574,612307.000000,377047.000000
1466.236116,0.213121,610032.000000,373449.000000
1469.425046,0.217483,607345.000000,368089.000000
1473.670371,0.224027,603789.000000,360461.000000
1476.849428,0.228661,601175.000000,355091.000000
1480.024254,0.234599,597737.000000,348266.000000
1483.194849,0.241418,594479.000000,340972.000000
1486.361213,0.247497,591232.000000,334396.000000
1489.523345,0.250884,587853.000000,329902.000000
1492.681247,0.254743,583875.000000,324771.000000
1496.885200,0.256976,578062.000000,319888.000000
1500.033229,0.258043,574159.000000,316949.000000
1503.177027,0.257645,570285.000000,315099.000000
