Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:12:14,,
Header Version:,1,,
System Temp (C):,33.84,,
Detector Temp (C):,34.57,,
Humidity (%):,2.74,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.678,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.072234,108485.000000,91862.000000
905.375756,0.079118,121306.000000,101103.000000
909.237442,0.081400,131909.000000,109364.000000
913.094897,0.082023,143299.000000,118637.000000
916.948121,0.083134,156982.000000,129633.000000
922.079171,0.082690,179937.000000,148741.000000
925.922522,0.085290,200504.000000,164753.000000
929.761641,0.085704,222660.000000,182784.000000
933.596530,0.085695,244426.000000,200656.000000
937.427188,0.084143,263972.000000,217478.000000
941.253614,0.083791,281845.000000,232391.000000
945.075809,0.083473,297271.000000,245290.000000
950.165487,0.081501,315605.000000,261603.000000
953.977810,0.081608,328029.000000,271834.000000
957.785901,0.081250,340470.000000,282377.000000
961.589761,0.081445,352317.000000,292071.000000
965.389390,0.082053,363056.000000,300553.000000
969.184788,0.081614,373162.000000,309231.000000
972.975955,0.081533,382632.000000,317138.000000
976.762890,0.082418,391202.000000,323581.000000
981.805555,0.083272,400190.000000,330365.000000
985.582618,0.083626,406088.000000,334961.000000
989.355450,0.084032,410162.000000,338005.000000
993.124050,0.084222,412868.000000,340086.000000
996.888419,0.084835,414263.000000,340754.000000
1000.648557,0.085811,415476.000000,340985.000000
1004.404464,0.086868,415479.000000,340158.000000
1009.405758,0.088836,414358.000000,337707.000000
1013.151792,0.088493,412923.000000,336803.000000
1016.893595,0.088747,411526.000000,335467.000000
1020.631167,0.088754,409066.000000,333457.000000
1024.364507,0.088712,406777.000000,331623.000000
1028.093617,0.088990,404427.000000,329496.000000
1031.818495,0.088896,401911.000000,327517.000000
1036.778417,0.088148,398410.000000,325224.000000
1040.493423,0.088296,396204.000000,323313.000000
1044.204197,0.087869,394236.000000,322023.000000
1047.910740,0.087926,392042.000000,320189.000000
1051.613052,0.087533,389823.000000,318665.000000
1055.311133,0.086709,388234.000000,317969.000000
1059.004983,0.086725,387599.000000,317437.000000
1063.923534,0.085542,386688.000000,317555.000000
1067.607511,0.085620,386598.000000,317424.000000
1071.287257,0.084430,387377.000000,318936.000000
1074.962771,0.084903,388536.000000,319542.000000
1078.634055,0.083599,389855.000000,321591.000000
1082.301107,0.082731,391215.000000,323359.000000
1085.963928,0.082317,393215.000000,325322.000000
1090.841108,0.081377,396270.000000,328560.000000
1094.494056,0.081346,398760.000000,330648.000000
1098.142773,0.080279,400987.000000,333312.000000
1101.787259,0.079688,403477.000000,335839.000000
1105.427514,0.079636,406116.000000,338076.000000
1109.063538,0.079017,407701.000000,339879.000000
1112.695330,0.079264,409859.000000,341484.000000
1117.531139,0.078351,412494.000000,344403.000000
1121.153058,0.079084,414909.000000,345835.000000
1124.770747,0.079178,416559.000000,347135.000000
1128.384204,0.080398,418532.000000,347801.000000
1131.993431,0.080804,419956.000000,348658.000000
1135.598426,0.083099,421946.000000,348464.000000
1139.199190,0.084531,423881.000000,348910.000000
1143.993626,0.086048,426786.000000,350076.000000
1147.584518,0.086866,428617.000000,350916.000000
1151.171178,0.087787,431169.000000,352258.000000
1154.753606,0.088534,433579.000000,353618.000000
1158.331804,0.090626,436264.000000,354098.000000
