Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:11:40,,
Header Version:,1,,
System Temp (C):,34.23,,
Detector Temp (C):,34.38,,
Humidity (%):,1.66,,
Lamp PD:,3818,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.664,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.033511,108485.000000,100429.000000
905.375756,0.040013,121306.000000,110629.000000
909.237442,0.042169,131909.000000,119703.000000
913.094897,0.042470,143299.000000,129949.000000
916.948121,0.043877,156982.000000,141897.000000
922.079171,0.046972,179937.000000,161491.000000
925.922522,0.048431,200504.000000,179346.000000
929.761641,0.048492,222660.000000,199136.000000
933.596530,0.048986,244426.000000,218354.000000
937.427188,0.047760,263972.000000,236482.000000
941.253614,0.047725,281845.000000,252514.000000
945.075809,0.046688,297271.000000,266971.000000
950.165487,0.046652,315605.000000,283460.000000
953.977810,0.045762,328029.000000,295223.000000
957.785901,0.046441,340470.000000,305941.000000
961.589761,0.046366,352317.000000,316641.000000
965.389390,0.046227,363056.000000,326397.000000
969.184788,0.046728,373162.000000,335096.000000
972.975955,0.047039,382632.000000,343354.000000
976.762890,0.047349,391202.000000,350794.000000
981.805555,0.047410,400190.000000,358803.000000
985.582618,0.048821,406088.000000,362910.000000
989.355450,0.048697,410162.000000,366656.000000
993.124050,0.050021,412868.000000,367951.000000
996.888419,0.050419,414263.000000,368856.000000
1000.648557,0.050983,415476.000000,369456.000000
1004.404464,0.052126,415479.000000,368488.000000
1009.405758,0.053704,414358.000000,366161.000000
1013.151792,0.053447,412923.000000,365109.000000
1016.893595,0.054473,411526.000000,363015.000000
1020.631167,0.054352,409066.000000,360945.000000
1024.364507,0.054573,406777.000000,358743.000000
1028.093617,0.054082,404427.000000,357074.000000
1031.818495,0.053784,401911.000000,355096.000000
1036.778417,0.053718,398410.000000,352056.000000
1040.493423,0.053605,396204.000000,350198.000000
1044.204197,0.053393,394236.000000,348629.000000
1047.910740,0.052864,392042.000000,347111.000000
1051.613052,0.052383,389823.000000,345529.000000
1055.311133,0.051797,388234.000000,344585.000000
1059.004983,0.051345,387599.000000,344380.000000
1063.923534,0.049566,386688.000000,344981.000000
1067.607511,0.049269,386598.000000,345136.000000
1071.287257,0.048566,387377.000000,346392.000000
1074.962771,0.048214,388536.000000,347710.000000
1078.634055,0.047166,389855.000000,349733.000000
1082.301107,0.046234,391215.000000,351707.000000
1085.963928,0.045974,393215.000000,353717.000000
1090.841108,0.045173,396270.000000,357123.000000
1094.494056,0.044402,398760.000000,360006.000000
1098.142773,0.044120,400987.000000,362252.000000
1101.787259,0.044460,403477.000000,364216.000000
1105.427514,0.043821,406116.000000,367138.000000
1109.063538,0.043471,407701.000000,368868.000000
1112.695330,0.043866,409859.000000,370483.000000
1117.531139,0.044064,412494.000000,372695.000000
1121.153058,0.044907,414909.000000,374150.000000
1124.770747,0.044661,416559.000000,375851.000000
1128.384204,0.045626,418532.000000,376793.000000
1131.993431,0.047490,419956.000000,376456.000000
1135.598426,0.049495,421946.000000,376497.000000
1139.199190,0.051336,423881.000000,376624.000000
1143.993626,0.053534,426786.000000,377291.000000
1147.584518,0.054704,428617.000000,377890.000000
1151.171178,0.055804,431169.000000,379178.000000
1154.753606,0.056904,433579.000000,380333.000000
1158.331804,0.058499,436264.000000,381286.000000
1161.905771,0.060892,439132.000000,381683.000000
1165.475506,0.063080,442389.000000,382582.000000
1169.041010,0.065360,446101.000000,383772.000000
1173.788434,0.069525,451929.000000,385075.000000
1177.344065,0.072171,456026.000000,386206.000000
1180.895466,0.074044,461306.000000,388996.000000
1184.442635,0.075974,467657.000000,392603.000000
1187.985573,0.077199,473969.000000,396781.000000
1191.524279,0.076366,479856.000000,402481.000000
1195.058755,0.076217,487372.000000,408925.000000
1199.764807,0.075364,497347.000000,418115.000000
1203.289410,0.074369,504311.000000,424942.000000
1206.809782,0.074317,511507.000000,431057.000000
1210.325922,0.072987,519078.000000,438779.000000
1213.837832,0.072135,527163.000000,446488.000000
1217.345510,0.071887,534208.000000,452713.000000
1220.848957,0.070937,540472.000000,459025.000000
1225.513638,0.069685,549929.000000,468405.000000
1229.007212,0.069518,556888.000000,474515.000000
1232.496555,0.068147,562180.000000,480539.000000
1235.981667,0.067708,567975.000000,485983.000000
1239.462548,0.066656,574815.000000,493029.000000
