Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:19:44,,
Header Version:,1,,
System Temp (C):,33.91,,
Detector Temp (C):,34.62,,
Humidity (%):,1.81,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.691,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.069890,108485.000000,92359.000000
905.375756,0.075325,121306.000000,101990.000000
909.237442,0.078724,131909.000000,110040.000000
913.094897,0.080339,143299.000000,119098.000000
916.948121,0.080536,156982.000000,130411.000000
922.079171,0.082153,179937.000000,148925.000000
925.922522,0.083089,200504.000000,165590.000000
929.761641,0.084160,222660.000000,183435.000000
933.596530,0.083198,244426.000000,201813.000000
937.427188,0.081386,263972.000000,218863.000000
941.253614,0.081322,281845.000000,233716.000000
945.075809,0.080057,297271.000000,247227.000000
950.165487,0.079041,315605.000000,263089.000000
953.977810,0.079266,328029.000000,273304.000000
957.785901,0.079780,340470.000000,283334.000000
961.589761,0.080053,352317.000000,293009.000000
965.389390,0.079379,363056.000000,302409.000000
969.184788,0.079580,373162.000000,310683.000000
972.975955,0.079567,382632.000000,318577.000000
976.762890,0.080307,391202.000000,325158.000000
981.805555,0.080354,400190.000000,332592.000000
985.582618,0.081006,406088.000000,336988.000000
989.355450,0.081514,410162.000000,339971.000000
993.124050,0.081845,412868.000000,341953.000000
996.888419,0.082912,414263.000000,342266.000000
1000.648557,0.083308,415476.000000,342956.000000
1004.404464,0.084327,415479.000000,342154.000000
1009.405758,0.085971,414358.000000,339942.000000
1013.151792,0.086142,412923.000000,338631.000000
1016.893595,0.086432,411526.000000,337260.000000
1020.631167,0.085700,409066.000000,335810.000000
1024.364507,0.085878,406777.000000,333794.000000
1028.093617,0.086498,404427.000000,331392.000000
1031.818495,0.085463,401911.000000,330116.000000
1036.778417,0.085971,398410.000000,326858.000000
1040.493423,0.085128,396204.000000,325680.000000
1044.204197,0.085501,394236.000000,323784.000000
1047.910740,0.085749,392042.000000,321798.000000
1051.613052,0.084689,389823.000000,320759.000000
1055.311133,0.084299,388234.000000,319738.000000
1059.004983,0.083901,387599.000000,319508.000000
1063.923534,0.082951,386688.000000,319455.000000
1067.607511,0.082680,386598.000000,319580.000000
1071.287257,0.081908,387377.000000,320794.000000
1074.962771,0.081408,388536.000000,322124.000000
1078.634055,0.081150,389855.000000,323410.000000
1082.301107,0.080202,391215.000000,325247.000000
1085.963928,0.079310,393215.000000,327582.000000
1090.841108,0.078441,396270.000000,330788.000000
1094.494056,0.077852,398760.000000,333319.000000
1098.142773,0.077993,400987.000000,335071.000000
1101.787259,0.077436,403477.000000,337585.000000
1105.427514,0.076740,406116.000000,340338.000000
1109.063538,0.076125,407701.000000,342150.000000
1112.695330,0.075208,409859.000000,344688.000000
1117.531139,0.075841,412494.000000,346399.000000
1121.153058,0.075785,414909.000000,348472.000000
1124.770747,0.076360,416559.000000,349395.000000
1128.384204,0.077036,418532.000000,350504.000000
1131.993431,0.078030,419956.000000,350892.000000
1135.598426,0.080050,421946.000000,350919.000000
1139.199190,0.081047,423881.000000,351720.000000
1143.993626,0.082976,426786.000000,352561.000000
1147.584518,0.083859,428617.000000,353354.000000
1151.171178,0.084686,431169.000000,354782.000000
1154.753606,0.085622,433579.000000,355997.000000
1158.331804,0.086626,436264.000000,357374.000000
1161.905771,0.088474,439132.000000,358196.000000
1165.475506,0.090935,442389.000000,358814.000000
1169.041010,0.092847,446101.000000,360235.000000
1173.788434,0.096483,451929.000000,361899.000000
1177.344065,0.098619,456026.000000,363388.000000
1180.895466,0.100559,461306.000000,365957.000000
1184.442635,0.102100,467657.000000,369681.000000
1187.985573,0.103011,473969.000000,373886.000000
1191.524279,0.103548,479856.000000,378062.000000
1195.058755,0.103007,487372.000000,384462.000000
1199.764807,0.102607,497347.000000,392692.000000
1203.289410,0.101887,504311.000000,398852.000000
1206.809782,0.101729,511507.000000,404690.000000
1210.325922,0.100853,519078.000000,411509.000000
1213.837832,0.099934,527163.000000,418804.000000
1217.345510,0.099760,534208.000000,424571.000000
1220.848957,0.098894,540472.000000,430407.000000
1225.513638,0.097931,549929.000000,438910.000000
1229.007212,0.097731,556888.000000,444669.000000
1232.496555,0.096874,562180.000000,449781.000000
1235.981667,0.096455,567975.000000,454856.000000
1239.462548,0.095635,574815.000000,461204.000000
1242.939198,0.094485,582782.000000,468836.000000
1246.411616,0.094196,591476.000000,476147.000000
1251.034925,0.093658,604016.000000,486845.000000
1254.497471,0.093923,612289.000000,493212.000000
1257.955786,0.094683,619125.000000,497846.000000
1261.409869,0.095348,624551.000000,501441.000000
1264.859721,0.095844,629900.000000,505158.000000
1268.305342,0.096222,634345.000000,508281.000000
