Method:,Column 1,,
Host Date-Time:,31/3/15 @ 12:7:47,,
Header Version:,1,,
System Temp (C):,33.9,,
Detector Temp (C):,33.86,,
Humidity (%):,1.86,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.667,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.034537,108485.000000,100192.000000
905.375756,0.040261,121306.000000,110566.000000
909.237442,0.043401,131909.000000,119364.000000
913.094897,0.043605,143299.000000,129610.000000
916.948121,0.044128,156982.000000,141815.000000
922.079171,0.045981,179937.000000,161860.000000
925.922522,0.048032,200504.000000,179511.000000
929.761641,0.048283,222660.000000,199232.000000
933.596530,0.048779,244426.000000,218458.000000
937.427188,0.047936,263972.000000,236386.000000
941.253614,0.047654,281845.000000,252555.000000
945.075809,0.047384,297271.000000,266544.000000
950.165487,0.046245,315605.000000,283726.000000
953.977810,0.045677,328029.000000,295281.000000
957.785901,0.046350,340470.000000,306005.000000
961.589761,0.046624,352317.000000,316453.000000
965.389390,0.046374,363056.000000,326287.000000
969.184788,0.047407,373162.000000,334573.000000
972.975955,0.047905,382632.000000,342670.000000
976.762890,0.047688,391202.000000,350520.000000
981.805555,0.048846,400190.000000,357619.000000
985.582618,0.049143,406088.000000,362641.000000
989.355450,0.050010,410162.000000,365549.000000
993.124050,0.050222,412868.000000,367781.000000
996.888419,0.050663,414263.000000,368649.000000
1000.648557,0.051664,415476.000000,368877.000000
1004.404464,0.052959,415479.000000,367782.000000
1009.405758,0.053815,414358.000000,366067.000000
1013.151792,0.054319,412923.000000,364376.000000
1016.893595,0.054724,411526.000000,362805.000000
1020.631167,0.054670,409066.000000,360681.000000
1024.364507,0.054690,406777.000000,358646.000000
1028.093617,0.054292,404427.000000,356901.000000
1031.818495,0.054614,401911.000000,354418.000000
1036.778417,0.054700,398410.000000,351261.000000
1040.493423,0.054347,396204.000000,349600.000000
1044.204197,0.053169,394236.000000,348809.000000
1047.910740,0.052797,392042.000000,347165.000000
1051.613052,0.052375,389823.000000,345535.000000
1055.311133,0.052032,388234.000000,344399.000000
1059.004983,0.051302,387599.000000,344414.000000
1063.923534,0.050503,386688.000000,344237.000000
1067.607511,0.049194,386598.000000,345196.000000
1071.287257,0.049226,387377.000000,345866.000000
1074.962771,0.048451,388536.000000,347520.000000
1078.634055,0.048343,389855.000000,348787.000000
1082.301107,0.047419,391215.000000,350749.000000
1085.963928,0.046670,393215.000000,353151.000000
1090.841108,0.045767,396270.000000,356635.000000
1094.494056,0.045555,398760.000000,359051.000000
1098.142773,0.044765,400987.000000,361714.000000
1101.787259,0.044596,403477.000000,364102.000000
1105.427514,0.044626,406116.000000,366458.000000
1109.063538,0.043772,407701.000000,368612.000000
1112.695330,0.044207,409859.000000,370192.000000
1117.531139,0.044100,412494.000000,372664.000000
1121.153058,0.045106,414909.000000,373979.000000
1124.770747,0.045636,416559.000000,375008.000000
1128.384204,0.046853,418532.000000,375730.000000
1131.993431,0.047876,419956.000000,376121.000000
1135.598426,0.049771,421946.000000,376258.000000
1139.199190,0.051765,423881.000000,376252.000000
1143.993626,0.054353,426786.000000,376580.000000
1147.584518,0.055051,428617.000000,377588.000000
1151.171178,0.056595,431169.000000,378488.000000
1154.753606,0.057569,433579.000000,379751.000000
1158.331804,0.059196,436264.000000,380674.000000
1161.905771,0.061243,439132.000000,381375.000000
1165.475506,0.064173,442389.000000,381620.000000
1169.041010,0.066076,446101.000000,383140.000000
1173.788434,0.069909,451929.000000,384735.000000
1177.344065,0.072756,456026.000000,385686.000000
1180.895466,0.074900,461306.000000,388230.000000
1184.442635,0.076872,467657.000000,391792.000000
1187.985573,0.077774,473969.000000,396256.000000
1191.524279,0.077451,479856.000000,401476.000000
1195.058755,0.077230,487372.000000,407972.000000
1199.764807,0.076344,497347.000000,417172.000000
1203.289410,0.075289,504311.000000,424043.000000
1206.809782,0.074594,511507.000000,430782.000000
1210.325922,0.073698,519078.000000,438061.000000
1213.837832,0.072409,527163.000000,446207.000000
1217.345510,0.071994,534208.000000,452602.000000
1220.848957,0.071735,540472.000000,458182.000000
1225.513638,0.070258,549929.000000,467787.000000
1229.007212,0.070125,556888.000000,473852.000000
1232.496555,0.069419,562180.000000,479133.000000
1235.981667,0.068737,567975.000000,484833.000000
1239.462548,0.067760,574815.000000,491777.000000
1242.939198,0.066558,582782.000000,499975.000000
1246.411616,0.066153,591476.000000,507907.000000
1251.034925,0.065948,604016.000000,518920.000000
1254.497471,0.066205,612289.000000,525716.000000
1257.955786,0.066413,619125.000000,531331.000000
1261.409869,0.067162,624551.000000,535064.000000
1264.859721,0.067715,629900.000000,538960.000000
1268.305342,0.068238,634345.000000,542110.000000
1271.746732,0.069142,638574.000000,544589.000000
1276.328670,0.069486,642499.000000,547503.000000
1279.760187,0.068922,645905.000000,551121.000000
1283.187473,0.068647,648307.000000,553520.000000
1286.610528,0.068340,650446.000000,555739.000000
1290.029352,0.067691,652132.000000,558013.000000
1293.443944,0.067161,653907.000000,560215.000000
1296.854305,0.067521,655963.000000,561511.000000
1301.394872,0.066898,657349.000000,563505.000000
1304.795360,0.067269,657558.000000,563203.000000
1308.191618,0.067254,658515.000000,564042.000000
1311.583644,0.067766,658804.000000,563625.000000
1314.971439,0.067899,659011.000000,563629.000000
1318.355003,0.068327,658272.000000,562443.000000
1321.734336,0.068742,658022.000000,561692.000000
1326.233531,0.070066,657870.000000,559853.000000
1329.602991,0.070584,656482.000000,558006.000000
1332.968219,0.071800,654926.000000,555127.000000
1336.329217,0.072884,653727.000000,552729.000000
1339.685984,0.074542,652497.000000,549587.000000
1343.038519,0.076424,649913.000000,545044.000000
1346.386823,0.078537,647671.000000,540527.000000
1349.730896,0.080422,645338.000000,536248.000000
1354.183078,0.083773,641175.000000,528693.000000
1357.517278,0.085782,638376.000000,523956.000000
1360.847247,0.088321,635805.000000,518804.000000
1364.172985,0.090699,633413.000000,514030.000000
1367.494492,0.093115,631026.000000,509252.000000
1370.811767,0.095398,628050.000000,504192.000000
1374.124812,0.097871,625034.000000,498922.000000
1378.535622,0.101107,620272.000000,491445.000000
1381.838794,0.104287,616892.000000,485201.000000
1385.137734,0.108568,613613.000000,477888.000000
1388.432444,0.112560,611526.000000,471905.000000
1391.722922,0.117822,610663.000000,465564.000000
1395.009169,0.122150,610634.000000,460926.000000
1398.291185,0.127526,611700.000000,456050.000000
1402.660624,0.134844,614051.000000,450153.000000
1405.932767,0.140431,616268.000000,446004.000000
1409.200679,0.145873,617795.000000,441541.000000
1412.464359,0.150716,618872.000000,437406.000000
1415.723809,0.155415,619795.000000,433344.000000
1418.979027,0.159364,620495.000000,429907.000000
1422.230015,0.162735,621087.000000,426990.000000
1426.558082,0.166994,621375.000000,423019.000000
1429.799197,0.170263,621616.000000,420010.000000
1433.036080,0.173352,622129.000000,417377.000000
1436.268732,0.175168,621526.000000,415232.000000
1439.497153,0.177869,621113.000000,412384.000000
1442.721343,0.180382,620921.000000,409878.000000
1445.941302,0.182828,620270.000000,407148.000000
1450.227998,0.186309,618860.000000,402980.000000
1453.438084,0.189112,617697.000000,399635.000000
1456.643939,0.192484,616264.000000,395624.000000
1459.845562,0.194914,614413.000000,392235.000000
1463.042954,0.198201,612307.000000,387943.000000
1466.236116,0.201325,610032.000000,383732.000000
1469.425046,0.205120,607345.000000,378718.000000
1473.670371,0.210995,603789.000000,371441.000000
1476.849428,0.217306,601175.000000,364498.000000
1480.024254,0.223379,597737.000000,357381.000000
1483.194849,0.229310,594479.000000,350612.000000
1486.361213,0.235649,591232.000000,343644.000000
1489.523345,0.241023,587853.000000,337478.000000
1492.681247,0.244835,583875.000000,332265.000000
1496.885200,0.247509,578062.000000,326938.000000
1500.033229,0.247479,574159.000000,324753.000000
1503.177027,0.247624,570285.000000,322454.000000
1506.316593,0.246549,565444.000000,320509.000000
1509.451928,0.245411,560571.000000,318581.000000
1512.583032,0.244238,555821.000000,316736.000000
1515.709905,0.241400,550344.000000,315671.000000
1519.872487,0.238267,543983.000000,314281.000000
1522.989487,0.236153,538764.000000,312785.000000
1526.102256,0.233894,533692.000000,311456.000000
1529.210794,0.229708,527902.000000,311061.000000
1532.315101,0.226699,521886.000000,309654.000000
1535.415176,0.223814,515888.000000,308135.000000
1538.511021,0.220995,509987.000000,306594.000000
1541.602634,0.218251,503936.000000,304877.000000
1545.718203,0.213037,494694.000000,302900.000000
1548.799943,0.209525,488378.000000,301461.000000
1551.877452,0.207171,481832.000000,299037.000000
1554.950730,0.205721,474989.000000,295776.000000
1558.019777,0.204108,467818.000000,292394.000000
1561.084593,0.201957,460730.000000,289394.000000
