Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:29:26,,
Header Version:,1,,
System Temp (C):,34.69,,
Detector Temp (C):,35.44,,
Humidity (%):,0.97,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.005763,108485.000000,107055.000000
905.375756,0.009926,121306.000000,118565.000000
909.237442,0.014281,131909.000000,127642.000000
913.094897,0.013700,143299.000000,138849.000000
916.948121,0.013586,156982.000000,152147.000000
922.079171,0.017539,179937.000000,172815.000000
925.922522,0.018252,200504.000000,192252.000000
929.761641,0.019760,222660.000000,212756.000000
933.596530,0.020382,244426.000000,233220.000000
937.427188,0.018853,263972.000000,252758.000000
941.253614,0.017952,281845.000000,270432.000000
945.075809,0.016325,297271.000000,286304.000000
950.165487,0.015662,315605.000000,304426.000000
953.977810,0.014750,328029.000000,317075.000000
957.785901,0.014696,340470.000000,329142.000000
961.589761,0.014764,352317.000000,340541.000000
965.389390,0.014449,363056.000000,351176.000000
969.184788,0.013488,373162.000000,361751.000000
972.975955,0.014583,382632.000000,369997.000000
976.762890,0.014480,391202.000000,378374.000000
981.805555,0.014333,400190.000000,387198.000000
985.582618,0.015183,406088.000000,392136.000000
989.355450,0.015561,410162.000000,395726.000000
993.124050,0.015581,412868.000000,398318.000000
996.888419,0.015280,414263.000000,399941.000000
1000.648557,0.015452,415476.000000,400953.000000
1004.404464,0.016235,415479.000000,400234.000000
1009.405758,0.016659,414358.000000,398765.000000
1013.151792,0.016712,412923.000000,397335.000000
1016.893595,0.017305,411526.000000,395451.000000
1020.631167,0.016610,409066.000000,393716.000000
1024.364507,0.016294,406777.000000,391798.000000
1028.093617,0.016744,404427.000000,389131.000000
1031.818495,0.016476,401911.000000,386949.000000
1036.778417,0.015365,398410.000000,384561.000000
1040.493423,0.015604,396204.000000,382221.000000
1044.204197,0.015467,394236.000000,380443.000000
1047.910740,0.015217,392042.000000,378543.000000
1051.613052,0.015676,389823.000000,376003.000000
1055.311133,0.014476,388234.000000,375507.000000
1059.004983,0.014431,387599.000000,374931.000000
1063.923534,0.014042,386688.000000,374385.000000
1067.607511,0.013635,386598.000000,374649.000000
1071.287257,0.013694,387377.000000,375353.000000
1074.962771,0.013832,388536.000000,376356.000000
1078.634055,0.012724,389855.000000,378599.000000
1082.301107,0.012817,391215.000000,379838.000000
1085.963928,0.012646,393215.000000,381930.000000
1090.841108,0.012545,396270.000000,384987.000000
1094.494056,0.012875,398760.000000,387112.000000
1098.142773,0.012494,400987.000000,389616.000000
1101.787259,0.012786,403477.000000,391771.000000
1105.427514,0.014560,406116.000000,392726.000000
1109.063538,0.014836,407701.000000,394009.000000
1112.695330,0.017325,409859.000000,393831.000000
1117.531139,0.020863,412494.000000,393147.000000
1121.153058,0.024647,414909.000000,392018.000000
1124.770747,0.026947,416559.000000,391498.000000
1128.384204,0.027764,418532.000000,392613.000000
1131.993431,0.025604,419956.000000,395913.000000
1135.598426,0.022683,421946.000000,400474.000000
1139.199190,0.020354,423881.000000,404473.000000
1143.993626,0.019015,426786.000000,408503.000000
1147.584518,0.018639,428617.000000,410611.000000
1151.171178,0.018592,431169.000000,413100.000000
1154.753606,0.019200,433579.000000,414828.000000
1158.331804,0.019673,436264.000000,416943.000000
1161.905771,0.019973,439132.000000,419394.000000
1165.475506,0.020360,442389.000000,422128.000000
1169.041010,0.020889,446101.000000,425152.000000
1173.788434,0.020441,451929.000000,431151.000000
1177.344065,0.020332,456026.000000,435169.000000
1180.895466,0.019739,461306.000000,440809.000000
1184.442635,0.019399,467657.000000,447227.000000
1187.985573,0.018682,473969.000000,454013.000000
1191.524279,0.018405,479856.000000,459945.000000
1195.058755,0.018773,487372.000000,466754.000000
1199.764807,0.018964,497347.000000,476097.000000
1203.289410,0.018593,504311.000000,483176.000000
1206.809782,0.018905,511507.000000,489719.000000
1210.325922,0.018638,519078.000000,497273.000000
1213.837832,0.019133,527163.000000,504443.000000
1217.345510,0.019109,534208.000000,511212.000000
1220.848957,0.019241,540472.000000,517050.000000
1225.513638,0.019221,549929.000000,526121.000000
1229.007212,0.019290,556888.000000,532694.000000
1232.496555,0.019284,562180.000000,537763.000000
1235.981667,0.019027,567975.000000,543629.000000
1239.462548,0.018656,574815.000000,550646.000000
1242.939198,0.018173,582782.000000,558899.000000
1246.411616,0.017645,591476.000000,567926.000000
1251.034925,0.017670,604016.000000,579934.000000
1254.497471,0.018378,612289.000000,586919.000000
1257.955786,0.018628,619125.000000,593130.000000
1261.409869,0.018742,624551.000000,598172.000000
1264.859721,0.018866,629900.000000,603123.000000
1268.305342,0.019486,634345.000000,606512.000000
1271.746732,0.019565,638574.000000,610445.000000
1276.328670,0.019848,642499.000000,613797.000000
1279.760187,0.019708,645905.000000,617249.000000
1283.187473,0.019592,648307.000000,619711.000000
1286.610528,0.020055,650446.000000,621092.000000
1290.029352,0.019752,652132.000000,623137.000000
1293.443944,0.019560,653907.000000,625110.000000
1296.854305,0.019621,655963.000000,626987.000000
1301.394872,0.019587,657349.000000,628360.000000
1304.795360,0.019602,657558.000000,628539.000000
1308.191618,0.019629,658515.000000,629414.000000
1311.583644,0.020017,658804.000000,629128.000000
1314.971439,0.020170,659011.000000,629105.000000
1318.355003,0.020662,658272.000000,627688.000000
1321.734336,0.020719,658022.000000,627367.000000
1326.233531,0.021069,657870.000000,626717.000000
1329.602991,0.021548,656482.000000,624705.000000
1332.968219,0.021723,654926.000000,622973.000000
1336.329217,0.022030,653727.000000,621393.000000
1339.685984,0.023176,652497.000000,618589.000000
1343.038519,0.024433,649913.000000,614359.000000
1346.386823,0.025599,647671.000000,610598.000000
1349.730896,0.026916,645338.000000,606556.000000
1354.183078,0.028324,641175.000000,600693.000000
1357.517278,0.029085,638376.000000,597023.000000
1360.847247,0.029723,635805.000000,593746.000000
1364.172985,0.029794,633413.000000,591416.000000
1367.494492,0.029929,631026.000000,589004.000000
1370.811767,0.030219,628050.000000,585835.000000
1374.124812,0.030772,625034.000000,582280.000000
1378.535622,0.030946,620272.000000,577612.000000
1381.838794,0.031824,616892.000000,573304.000000
1385.137734,0.032582,613613.000000,569262.000000
1388.432444,0.033157,611526.000000,566576.000000
1391.722922,0.034432,610663.000000,564117.000000
1395.009169,0.035476,610634.000000,562737.000000
1398.291185,0.036916,611700.000000,561853.000000
1402.660624,0.038763,614051.000000,561618.000000
1405.932767,0.040283,616268.000000,561677.000000
1409.200679,0.041261,617795.000000,561802.000000
1412.464359,0.042858,618872.000000,560716.000000
1415.723809,0.043443,619795.000000,560796.000000
