Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:27:9,,
Header Version:,1,,
System Temp (C):,34.64,,
Detector Temp (C):,35.34,,
Humidity (%):,0.87,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.679,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.006981,108485.000000,106755.000000
905.375756,0.012851,121306.000000,117769.000000
909.237442,0.014152,131909.000000,127680.000000
913.094897,0.015280,143299.000000,138345.000000
916.948121,0.016577,156982.000000,151103.000000
922.079171,0.018175,179937.000000,172562.000000
925.922522,0.020131,200504.000000,191422.000000
929.761641,0.021112,222660.000000,212095.000000
933.596530,0.020607,244426.000000,233099.000000
937.427188,0.020809,263972.000000,251622.000000
941.253614,0.019394,281845.000000,269536.000000
945.075809,0.017527,297271.000000,285513.000000
950.165487,0.016622,315605.000000,303754.000000
953.977810,0.016357,328029.000000,315904.000000
957.785901,0.016164,340470.000000,328031.000000
961.589761,0.015972,352317.000000,339595.000000
965.389390,0.015945,363056.000000,349968.000000
969.184788,0.015889,373162.000000,359756.000000
972.975955,0.016023,382632.000000,368772.000000
976.762890,0.015846,391202.000000,377186.000000
981.805555,0.015769,400190.000000,385920.000000
985.582618,0.016432,406088.000000,391010.000000
989.355450,0.016923,410162.000000,394487.000000
993.124050,0.016596,412868.000000,397388.000000
996.888419,0.016869,414263.000000,398481.000000
1000.648557,0.017246,415476.000000,399301.000000
1004.404464,0.018155,415479.000000,398469.000000
1009.405758,0.018517,414358.000000,397062.000000
1013.151792,0.017904,412923.000000,396246.000000
1016.893595,0.018502,411526.000000,394362.000000
1020.631167,0.018084,409066.000000,392382.000000
1024.364507,0.018324,406777.000000,389971.000000
1028.093617,0.017730,404427.000000,388249.000000
1031.818495,0.017391,401911.000000,386135.000000
1036.778417,0.017095,398410.000000,383032.000000
1040.493423,0.016923,396204.000000,381062.000000
1044.204197,0.016668,394236.000000,379392.000000
1047.910740,0.016458,392042.000000,377463.000000
1051.613052,0.016209,389823.000000,375542.000000
1055.311133,0.015661,388234.000000,374483.000000
1059.004983,0.015760,387599.000000,373786.000000
1063.923534,0.015497,386688.000000,373133.000000
1067.607511,0.014917,386598.000000,373545.000000
1071.287257,0.014855,387377.000000,374351.000000
1074.962771,0.014394,388536.000000,375870.000000
1078.634055,0.014504,389855.000000,377050.000000
1082.301107,0.013575,391215.000000,379176.000000
1085.963928,0.013473,393215.000000,381204.000000
1090.841108,0.013762,396270.000000,383910.000000
1094.494056,0.013243,398760.000000,386784.000000
1098.142773,0.013848,400987.000000,388403.000000
1101.787259,0.014152,403477.000000,390541.000000
1105.427514,0.014949,406116.000000,392375.000000
1109.063538,0.015997,407701.000000,392957.000000
1112.695330,0.018064,409859.000000,393161.000000
1117.531139,0.021742,412494.000000,392352.000000
1121.153058,0.025555,414909.000000,391199.000000
1124.770747,0.027660,416559.000000,390856.000000
1128.384204,0.028784,418532.000000,391692.000000
1131.993431,0.026603,419956.000000,395003.000000
1135.598426,0.024069,421946.000000,399198.000000
1139.199190,0.021659,423881.000000,403260.000000
1143.993626,0.020293,426786.000000,407303.000000
1147.584518,0.019655,428617.000000,409651.000000
1151.171178,0.019518,431169.000000,412220.000000
1154.753606,0.019820,433579.000000,414236.000000
1158.331804,0.020333,436264.000000,416310.000000
1161.905771,0.020899,439132.000000,418501.000000
1165.475506,0.021382,442389.000000,421136.000000
1169.041010,0.021499,446101.000000,424555.000000
