Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:36:30,,
Header Version:,1,,
System Temp (C):,34.81,,
Detector Temp (C):,35.57,,
Humidity (%):,0.83,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.677,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.004904,108485.000000,107267.000000
905.375756,0.009139,121306.000000,118780.000000
909.237442,0.011973,131909.000000,128322.000000
913.094897,0.013788,143299.000000,138821.000000
916.948121,0.015162,156982.000000,151596.000000
922.079171,0.017167,179937.000000,172963.000000
925.922522,0.018878,200504.000000,191975.000000
929.761641,0.020114,222660.000000,212583.000000
933.596530,0.020207,244426.000000,233314.000000
937.427188,0.019315,263972.000000,252489.000000
941.253614,0.018033,281845.000000,270382.000000
945.075809,0.017741,297271.000000,285372.000000
950.165487,0.015912,315605.000000,304251.000000
953.977810,0.014869,328029.000000,316988.000000
957.785901,0.015088,340470.000000,328845.000000
961.589761,0.014423,352317.000000,340809.000000
965.389390,0.014365,363056.000000,351244.000000
969.184788,0.014308,373162.000000,361068.000000
972.975955,0.014496,382632.000000,370071.000000
976.762890,0.014781,391202.000000,378112.000000
981.805555,0.014847,400190.000000,386740.000000
985.582618,0.014806,406088.000000,392477.000000
989.355450,0.015064,410162.000000,396179.000000
993.124050,0.015225,412868.000000,398645.000000
996.888419,0.015477,414263.000000,399760.000000
1000.648557,0.016023,415476.000000,400427.000000
1004.404464,0.016601,415479.000000,399897.000000
1009.405758,0.016357,414358.000000,399042.000000
1013.151792,0.016689,412923.000000,397356.000000
1016.893595,0.016609,411526.000000,396085.000000
1020.631167,0.016560,409066.000000,393762.000000
1024.364507,0.016711,406777.000000,391422.000000
1028.093617,0.015768,404427.000000,390007.000000
1031.818495,0.016393,401911.000000,387023.000000
1036.778417,0.015677,398410.000000,384285.000000
1040.493423,0.015954,396204.000000,381913.000000
1044.204197,0.015436,394236.000000,380470.000000
1047.910740,0.015191,392042.000000,378566.000000
1051.613052,0.014927,389823.000000,376652.000000
1055.311133,0.014923,388234.000000,375120.000000
1059.004983,0.014602,387599.000000,374784.000000
1063.923534,0.014194,386688.000000,374254.000000
1067.607511,0.013577,386598.000000,374699.000000
1071.287257,0.013662,387377.000000,375381.000000
1074.962771,0.013501,388536.000000,376643.000000
1078.634055,0.013222,389855.000000,378165.000000
1082.301107,0.012635,391215.000000,379997.000000
1085.963928,0.012443,393215.000000,382109.000000
1090.841108,0.012427,396270.000000,385092.000000
1094.494056,0.012814,398760.000000,387166.000000
1098.142773,0.012986,400987.000000,389174.000000
1101.787259,0.013128,403477.000000,391463.000000
1105.427514,0.013920,406116.000000,393306.000000
1109.063538,0.014937,407701.000000,393917.000000
1112.695330,0.016490,409859.000000,394589.000000
1117.531139,0.020257,412494.000000,393696.000000
1121.153058,0.024364,414909.000000,392273.000000
1124.770747,0.026972,416559.000000,391475.000000
1128.384204,0.027700,418532.000000,392671.000000
1131.993431,0.025644,419956.000000,395877.000000
1135.598426,0.022787,421946.000000,400378.000000
1139.199190,0.020367,423881.000000,404461.000000
1143.993626,0.019119,426786.000000,408405.000000
1147.584518,0.018313,428617.000000,410919.000000
1151.171178,0.019145,431169.000000,412575.000000
1154.753606,0.019058,433579.000000,414964.000000
1158.331804,0.019862,436264.000000,416761.000000
1161.905771,0.019927,439132.000000,419438.000000
1165.475506,0.020444,442389.000000,422047.000000
1169.041010,0.020768,446101.000000,425270.000000
1173.788434,0.021077,451929.000000,430520.000000
1177.344065,0.020048,456026.000000,435453.000000
1180.895466,0.019476,461306.000000,441076.000000
1184.442635,0.019126,467657.000000,447509.000000
1187.985573,0.018649,473969.000000,454047.000000
1191.524279,0.018416,479856.000000,459933.000000
1195.058755,0.018401,487372.000000,467153.000000
1199.764807,0.018794,497347.000000,476284.000000
1203.289410,0.018387,504311.000000,483405.000000
1206.809782,0.018810,511507.000000,489826.000000
1210.325922,0.018681,519078.000000,497224.000000
1213.837832,0.019041,527163.000000,504550.000000
1217.345510,0.019331,534208.000000,510951.000000
1220.848957,0.019057,540472.000000,517269.000000
1225.513638,0.019460,549929.000000,525832.000000
1229.007212,0.019365,556888.000000,532602.000000
1232.496555,0.019381,562180.000000,537644.000000
1235.981667,0.018932,567975.000000,543747.000000
1239.462548,0.018153,574815.000000,551284.000000
1242.939198,0.018028,582782.000000,559085.000000
1246.411616,0.017954,591476.000000,567522.000000
1251.034925,0.018063,604016.000000,579409.000000
1254.497471,0.017970,612289.000000,587471.000000
1257.955786,0.018505,619125.000000,593298.000000
1261.409869,0.018271,624551.000000,598821.000000
1264.859721,0.018858,629900.000000,603134.000000
1268.305342,0.018899,634345.000000,607332.000000
1271.746732,0.019659,638574.000000,610313.000000
1276.328670,0.019450,642499.000000,614359.000000
1279.760187,0.019698,645905.000000,617263.000000
1283.187473,0.019561,648307.000000,619754.000000
1286.610528,0.019790,650446.000000,621472.000000
1290.029352,0.019742,652132.000000,623152.000000
1293.443944,0.019468,653907.000000,625242.000000
1296.854305,0.019537,655963.000000,627108.000000
1301.394872,0.019431,657349.000000,628587.000000
1304.795360,0.019815,657558.000000,628230.000000
1308.191618,0.019610,658515.000000,629442.000000
1311.583644,0.019710,658804.000000,629573.000000
1314.971439,0.020348,659011.000000,628846.000000
1318.355003,0.020791,658272.000000,627501.000000
1321.734336,0.020671,658022.000000,627436.000000
1326.233531,0.021087,657870.000000,626691.000000
1329.602991,0.021594,656482.000000,624639.000000
1332.968219,0.021655,654926.000000,623070.000000
1336.329217,0.022145,653727.000000,621229.000000
1339.685984,0.023357,652497.000000,618332.000000
1343.038519,0.024296,649913.000000,614553.000000
1346.386823,0.025494,647671.000000,610746.000000
1349.730896,0.026857,645338.000000,606639.000000
1354.183078,0.028351,641175.000000,600655.000000
1357.517278,0.029218,638376.000000,596841.000000
1360.847247,0.029676,635805.000000,593811.000000
1364.172985,0.029919,633413.000000,591246.000000
1367.494492,0.030136,631026.000000,588723.000000
1370.811767,0.030340,628050.000000,585672.000000
1374.124812,0.030440,625034.000000,582725.000000
1378.535622,0.031354,620272.000000,577070.000000
1381.838794,0.031905,616892.000000,573197.000000
1385.137734,0.032624,613613.000000,569208.000000
1388.432444,0.033447,611526.000000,566198.000000
1391.722922,0.034336,610663.000000,564242.000000
1395.009169,0.035286,610634.000000,562982.000000
1398.291185,0.036130,611700.000000,562871.000000
1402.660624,0.038697,614051.000000,561704.000000
1405.932767,0.040142,616268.000000,561860.000000
1409.200679,0.041077,617795.000000,562040.000000
1412.464359,0.042433,618872.000000,561265.000000
1415.723809,0.043422,619795.000000,560823.000000
1418.979027,0.043869,620495.000000,560879.000000
1422.230015,0.044293,621087.000000,560866.000000
1426.558082,0.044214,621375.000000,561228.000000
1429.799197,0.044600,621616.000000,560947.000000
1433.036080,0.044269,622129.000000,561838.000000
1436.268732,0.044431,621526.000000,561084.000000
1439.497153,0.043770,621113.000000,561566.000000
1442.721343,0.043865,620921.000000,561270.000000
1445.941302,0.043767,620270.000000,560807.000000
1450.227998,0.044387,618860.000000,558734.000000
1453.438084,0.044822,617697.000000,557126.000000
1456.643939,0.044932,616264.000000,555693.000000
1459.845562,0.044944,614413.000000,554008.000000
1463.042954,0.045276,612307.000000,551687.000000
1466.236116,0.046227,610032.000000,548435.000000
1469.425046,0.046290,607345.000000,545941.000000
1473.670371,0.047361,603789.000000,541407.000000
1476.849428,0.048415,601175.000000,537757.000000
1480.024254,0.048796,597737.000000,534213.000000
1483.194849,0.049617,594479.000000,530298.000000
1486.361213,0.049666,591232.000000,527342.000000
1489.523345,0.049364,587853.000000,524692.000000
1492.681247,0.049263,583875.000000,521263.000000
1496.885200,0.048925,578062.000000,516475.000000
1500.033229,0.047987,574159.000000,514097.000000
1503.177027,0.048179,570285.000000,510403.000000
1506.316593,0.047287,565444.000000,507111.000000
1509.451928,0.046996,560571.000000,503077.000000
1512.583032,0.045528,555821.000000,500503.000000
1515.709905,0.045158,550344.000000,495994.000000
1519.872487,0.044899,543983.000000,490554.000000
1522.989487,0.044875,538764.000000,485874.000000
1526.102256,0.044410,533692.000000,481815.000000
1529.210794,0.043931,527902.000000,477114.000000
1532.315101,0.043762,521886.000000,471860.000000
1535.415176,0.043533,515888.000000,466683.000000
1538.511021,0.043386,509987.000000,461501.000000
1541.602634,0.042647,503936.000000,456802.000000
1545.718203,0.042265,494694.000000,448819.000000
1548.799943,0.042634,488378.000000,442713.000000
1551.877452,0.042539,481832.000000,436874.000000
1554.950730,0.042157,474989.000000,431049.000000
1558.019777,0.042296,467818.000000,424405.000000
1561.084593,0.041547,460730.000000,418697.000000
1564.145177,0.041737,454170.000000,412555.000000
1568.219375,0.041895,444181.000000,403334.000000
1571.270087,0.041755,436947.000000,396893.000000
1574.316568,0.041333,429598.000000,390597.000000
1577.358817,0.041458,422039.000000,383614.000000
1580.396835,0.042349,414375.000000,375876.000000
1583.430622,0.042023,406354.000000,368877.000000
1586.460178,0.041702,398475.000000,361992.000000
1590.493005,0.041713,388982.000000,353359.000000
1593.512688,0.041805,380708.000000,345770.000000
1596.528140,0.041895,372727.000000,338451.000000
1599.539361,0.042147,365060.000000,331297.000000
1602.546350,0.043787,357543.000000,323252.000000
1605.549109,0.044742,349495.000000,315282.000000
1608.547636,0.045659,341154.000000,307108.000000
1612.539091,0.047857,330877.000000,296353.000000
1615.527746,0.047965,322904.000000,289140.000000
1618.512169,0.048952,315116.000000,281526.000000
1621.492362,0.051066,307217.000000,273136.000000
1624.468323,0.052748,299481.000000,265229.000000
1627.440053,0.055802,292112.000000,256890.000000
1630.407551,0.059416,284245.000000,247900.000000
1634.357635,0.068833,274079.000000,233907.000000
1637.315261,0.079080,266916.000000,222482.000000
1640.268656,0.090666,259612.000000,210697.000000
1643.217819,0.103930,251804.000000,198213.000000
1646.162752,0.117200,244348.000000,186556.000000
1649.103453,0.131757,236703.000000,174762.000000
1652.039924,0.142290,228171.000000,164426.000000
1655.948635,0.150496,215408.000000,152323.000000
1658.875233,0.144247,204937.000000,147019.000000
1661.797599,0.130157,193395.000000,143314.000000
1664.715734,0.107379,179728.000000,140358.000000
1667.629638,0.078212,163642.000000,136673.000000
1670.539311,0.049310,146312.000000,130608.000000
1673.444753,0.016726,128451.000000,123598.000000
1677.312093,-0.018663,105080.000000,109694.000000
1680.207662,-0.043675,88906.000000,98312.000000
1683.099000,-0.061538,75033.000000,86455.000000
1685.986106,-0.072249,63520.000000,75017.000000
1688.868982,-0.082164,53714.000000,64901.000000
1691.747626,-0.078470,45653.000000,54694.000000
1694.622039,-0.072947,39137.000000,46295.000000
1697.492221,-0.068714,33776.000000,39566.000000
1701.312548,-0.060708,28175.000000,32402.000000
