Method:,Column 1,,
Host Date-Time:,31/3/15 @ 10:58:0,,
Header Version:,1,,
System Temp (C):,32.72,,
Detector Temp (C):,31.14,,
Humidity (%):,2.69,,
Lamp PD:,3824,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.669,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.003417,108485.000000,109342.000000
905.375756,0.003321,121306.000000,120382.000000
909.237442,0.004924,131909.000000,130422.000000
913.094897,0.003136,143299.000000,142268.000000
916.948121,0.003486,156982.000000,155727.000000
922.079171,0.004515,179937.000000,178076.000000
925.922522,0.005410,200504.000000,198022.000000
929.761641,0.006158,222660.000000,219525.000000
933.596530,0.006345,244426.000000,240881.000000
937.427188,0.006803,263972.000000,259869.000000
941.253614,0.007634,281845.000000,276934.000000
945.075809,0.007184,297271.000000,292394.000000
950.165487,0.006962,315605.000000,310586.000000
953.977810,0.006265,328029.000000,323331.000000
957.785901,0.005698,340470.000000,336032.000000
961.589761,0.007105,352317.000000,346600.000000
965.389390,0.006216,363056.000000,357897.000000
969.184788,0.006592,373162.000000,367541.000000
972.975955,0.006655,382632.000000,376813.000000
976.762890,0.007032,391202.000000,384919.000000
981.805555,0.006982,400190.000000,393808.000000
985.582618,0.007463,406088.000000,399169.000000
989.355450,0.007975,410162.000000,402699.000000
993.124050,0.008079,412868.000000,405259.000000
996.888419,0.008108,414263.000000,406601.000000
1000.648557,0.008418,415476.000000,407500.000000
1004.404464,0.009059,415479.000000,406902.000000
1009.405758,0.008578,414358.000000,406254.000000
1013.151792,0.009044,412923.000000,404413.000000
1016.893595,0.009071,411526.000000,403020.000000
1020.631167,0.009303,409066.000000,400397.000000
1024.364507,0.009224,406777.000000,398229.000000
1028.093617,0.008651,404427.000000,396451.000000
1031.818495,0.009021,401911.000000,393649.000000
1036.778417,0.008250,398410.000000,390913.000000
1040.493423,0.007826,396204.000000,389128.000000
1044.204197,0.008074,394236.000000,386974.000000
1047.910740,0.007885,392042.000000,384988.000000
1051.613052,0.007137,389823.000000,383469.000000
1055.311133,0.006527,388234.000000,382443.000000
1059.004983,0.006390,387599.000000,381938.000000
1063.923534,0.006039,386688.000000,381348.000000
1067.607511,0.005320,386598.000000,381891.000000
1071.287257,0.005261,387377.000000,382713.000000
1074.962771,0.005672,388536.000000,383495.000000
1078.634055,0.004769,389855.000000,385597.000000
1082.301107,0.004620,391215.000000,387075.000000
1085.963928,0.004609,393215.000000,389064.000000
1090.841108,0.004177,396270.000000,392477.000000
1094.494056,0.004114,398760.000000,395000.000000
1098.142773,0.004420,400987.000000,396927.000000
1101.787259,0.004913,403477.000000,398938.000000
1105.427514,0.006429,406116.000000,400148.000000
1109.063538,0.007716,407701.000000,400521.000000
1112.695330,0.009990,409859.000000,400539.000000
1117.531139,0.015267,412494.000000,398245.000000
1121.153058,0.019473,414909.000000,396716.000000
1124.770747,0.022774,416559.000000,395278.000000
1128.384204,0.023421,418532.000000,396559.000000
1131.993431,0.021003,419956.000000,400130.000000
1135.598426,0.017034,421946.000000,405717.000000
1139.199190,0.013270,423881.000000,411125.000000
1143.993626,0.012081,426786.000000,415077.000000
1147.584518,0.011173,428617.000000,417731.000000
1151.171178,0.010930,431169.000000,420453.000000
1154.753606,0.011243,433579.000000,422499.000000
1158.331804,0.011449,436264.000000,424913.000000
1161.905771,0.012148,439132.000000,427019.000000
1165.475506,0.012714,442389.000000,429626.000000
1169.041010,0.013215,446101.000000,432731.000000
1173.788434,0.012669,451929.000000,438936.000000
1177.344065,0.011392,456026.000000,444219.000000
1180.895466,0.010651,461306.000000,450130.000000
1184.442635,0.009750,467657.000000,457275.000000
1187.985573,0.008392,473969.000000,464898.000000
1191.524279,0.007455,479856.000000,471689.000000
