Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:6:15,,
Header Version:,1,,
System Temp (C):,34.26,,
Detector Temp (C):,33.74,,
Humidity (%):,1.27,,
Lamp PD:,3821,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.666,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,-0.009444,108485.000000,110870.000000
905.375756,-0.004498,121306.000000,122569.000000
909.237442,-0.002878,131909.000000,132786.000000
913.094897,-0.000996,143299.000000,143628.000000
916.948121,-0.001403,156982.000000,157490.000000
922.079171,-0.000198,179937.000000,180019.000000
925.922522,0.000574,200504.000000,200239.000000
929.761641,0.002247,222660.000000,221511.000000
933.596530,0.002818,244426.000000,242845.000000
937.427188,0.001911,263972.000000,262813.000000
941.253614,0.001312,281845.000000,280995.000000
945.075809,0.000550,297271.000000,296895.000000
950.165487,-0.000043,315605.000000,315636.000000
953.977810,-0.001059,328029.000000,328830.000000
957.785901,-0.001330,340470.000000,341514.000000
961.589761,-0.001393,352317.000000,353449.000000
965.389390,-0.001938,363056.000000,364680.000000
969.184788,-0.001656,373162.000000,374588.000000
972.975955,-0.002069,382632.000000,384459.000000
976.762890,-0.001519,391202.000000,392573.000000
981.805555,-0.002107,400190.000000,402136.000000
985.582618,-0.001235,406088.000000,407244.000000
989.355450,-0.001109,410162.000000,411211.000000
993.124050,-0.001127,412868.000000,413941.000000
996.888419,-0.001308,414263.000000,415513.000000
1000.648557,-0.001646,415476.000000,417054.000000
1004.404464,-0.001004,415479.000000,416441.000000
1009.405758,-0.000497,414358.000000,414832.000000
1013.151792,-0.000993,412923.000000,413868.000000
1016.893595,-0.000467,411526.000000,411969.000000
1020.631167,-0.000536,409066.000000,409571.000000
1024.364507,-0.000787,406777.000000,407515.000000
1028.093617,-0.000304,404427.000000,404710.000000
1031.818495,-0.000659,401911.000000,402521.000000
1036.778417,-0.000798,398410.000000,399143.000000
1040.493423,-0.001109,396204.000000,397217.000000
1044.204197,-0.001390,394236.000000,395500.000000
1047.910740,-0.001230,392042.000000,393154.000000
1051.613052,-0.002348,389823.000000,391936.000000
1055.311133,-0.002510,388234.000000,390484.000000
