Method:,Column 1,,
Host Date-Time:,31/3/15 @ 11:25:27,,
Header Version:,1,,
System Temp (C):,34.61,,
Detector Temp (C):,35.32,,
Humidity (%):,0.97,,
Lamp PD:,3819,,
Shift Vector Coefficients:,-10.5391,0.0761263,-0.000134223,,
Pixel to Wavelength Coefficients:,1775.68,-0.916766,-0.000235065,,
Serial Number:,5510004,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.738,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.509839,0.007413,108485.000000,106649.000000
905.375756,0.012825,121306.000000,117776.000000
909.237442,0.015944,131909.000000,127154.000000
913.094897,0.016742,143299.000000,137880.000000
916.948121,0.017204,156982.000000,150885.000000
922.079171,0.018190,179937.000000,172556.000000
925.922522,0.020687,200504.000000,191177.000000
929.761641,0.022599,222660.000000,211370.000000
933.596530,0.022734,244426.000000,231960.000000
937.427188,0.020649,263972.000000,251715.000000
941.253614,0.020085,281845.000000,269107.000000
945.075809,0.018510,297271.000000,284867.000000
950.165487,0.018031,315605.000000,302770.000000
953.977810,0.017037,328029.000000,315410.000000
957.785901,0.016612,340470.000000,327693.000000
961.589761,0.017156,352317.000000,338671.000000
965.389390,0.016637,363056.000000,349411.000000
969.184788,0.016850,373162.000000,358961.000000
972.975955,0.016611,382632.000000,368273.000000
976.762890,0.016637,391202.000000,376499.000000
981.805555,0.016625,400190.000000,385160.000000
985.582618,0.017251,406088.000000,390274.000000
989.355450,0.017692,410162.000000,393789.000000
993.124050,0.017737,412868.000000,396346.000000
996.888419,0.017773,414263.000000,397652.000000
1000.648557,0.017854,415476.000000,398742.000000
1004.404464,0.018099,415479.000000,398520.000000
1009.405758,0.019123,414358.000000,396509.000000
1013.151792,0.018719,412923.000000,395503.000000
1016.893595,0.019255,411526.000000,393679.000000
1020.631167,0.018953,409066.000000,391598.000000
1024.364507,0.018776,406777.000000,389565.000000
1028.093617,0.018647,404427.000000,387430.000000
1031.818495,0.018171,401911.000000,385442.000000
1036.778417,0.017683,398410.000000,382514.000000
1040.493423,0.017207,396204.000000,380813.000000
1044.204197,0.017860,394236.000000,378352.000000
1047.910740,0.017602,392042.000000,376470.000000
1051.613052,0.016613,389823.000000,375193.000000
1055.311133,0.017755,388234.000000,372682.000000
1059.004983,0.015817,387599.000000,373737.000000
1063.923534,0.016420,386688.000000,372341.000000
1067.607511,0.015408,386598.000000,373123.000000
1071.287257,0.016266,387377.000000,373137.000000
1074.962771,0.015802,388536.000000,374653.000000
1078.634055,0.015360,389855.000000,376308.000000
1082.301107,0.014819,391215.000000,378091.000000
1085.963928,0.014909,393215.000000,379945.000000
1090.841108,0.014597,396270.000000,383172.000000
1094.494056,0.014916,398760.000000,385297.000000
1098.142773,0.014536,400987.000000,387788.000000
1101.787259,0.015195,403477.000000,389604.000000
1105.427514,0.016147,406116.000000,391294.000000
1109.063538,0.017044,407701.000000,392011.000000
1112.695330,0.018434,409859.000000,392826.000000
1117.531139,0.022108,412494.000000,392021.000000
1121.153058,0.026883,414909.000000,390005.000000
1124.770747,0.028314,416559.000000,390268.000000
1128.384204,0.029633,418532.000000,390927.000000
1131.993431,0.027506,419956.000000,394183.000000
1135.598426,0.024944,421946.000000,398394.000000
1139.199190,0.022344,423881.000000,402624.000000
1143.993626,0.021063,426786.000000,406581.000000
1147.584518,0.020817,428617.000000,408557.000000
1151.171178,0.020588,431169.000000,411206.000000
1154.753606,0.021142,433579.000000,412977.000000
1158.331804,0.021158,436264.000000,415519.000000
1161.905771,0.021807,439132.000000,417627.000000
1165.475506,0.022128,442389.000000,420413.000000
1169.041010,0.021889,446101.000000,424174.000000
1173.788434,0.023015,451929.000000,428603.000000
1177.344065,0.022126,456026.000000,433375.000000
1180.895466,0.021324,461306.000000,439203.000000
1184.442635,0.020486,467657.000000,446109.000000
1187.985573,0.020388,473969.000000,452233.000000
1191.524279,0.019647,479856.000000,458632.000000
1195.058755,0.020516,487372.000000,464884.000000
1199.764807,0.020287,497347.000000,474649.000000
1203.289410,0.019954,504311.000000,481664.000000
1206.809782,0.020376,511507.000000,488063.000000
1210.325922,0.020488,519078.000000,495159.000000
1213.837832,0.020787,527163.000000,502525.000000
1217.345510,0.020918,534208.000000,509087.000000
1220.848957,0.021300,540472.000000,514604.000000
1225.513638,0.020999,549929.000000,523972.000000
1229.007212,0.021297,556888.000000,530238.000000
1232.496555,0.020833,562180.000000,535849.000000
1235.981667,0.020510,567975.000000,541775.000000
1239.462548,0.020320,574815.000000,548540.000000
1242.939198,0.019800,582782.000000,556809.000000
1246.411616,0.019362,591476.000000,565686.000000
1251.034925,0.019500,604016.000000,577495.000000
1254.497471,0.019954,612289.000000,584793.000000
1257.955786,0.020309,619125.000000,590839.000000
1261.409869,0.020342,624551.000000,595972.000000
1264.859721,0.020680,629900.000000,600608.000000
1268.305342,0.020729,634345.000000,604779.000000
1271.746732,0.021328,638574.000000,607972.000000
1276.328670,0.021217,642499.000000,611865.000000
1279.760187,0.021107,645905.000000,615264.000000
1283.187473,0.021119,648307.000000,617535.000000
1286.610528,0.021307,650446.000000,619304.000000
1290.029352,0.021221,652132.000000,621033.000000
1293.443944,0.021085,653907.000000,622918.000000
1296.854305,0.021056,655963.000000,624918.000000
1301.394872,0.021220,657349.000000,626003.000000
1304.795360,0.020775,657558.000000,626843.000000
1308.191618,0.021314,658515.000000,626977.000000
1311.583644,0.021338,658804.000000,627218.000000
1314.971439,0.021557,659011.000000,627099.000000
1318.355003,0.022090,658272.000000,625627.000000
1321.734336,0.022203,658022.000000,625226.000000
1326.233531,0.022677,657870.000000,624400.000000
1329.602991,0.023084,656482.000000,622499.000000
1332.968219,0.023359,654926.000000,620631.000000
1336.329217,0.023862,653727.000000,618777.000000
1339.685984,0.025001,652497.000000,615995.000000
1343.038519,0.025831,649913.000000,612385.000000
1346.386823,0.027436,647671.000000,608021.000000
1349.730896,0.028397,645338.000000,604491.000000
1354.183078,0.030037,641175.000000,598328.000000
1357.517278,0.030541,638376.000000,595026.000000
1360.847247,0.030952,635805.000000,592068.000000
1364.172985,0.031421,633413.000000,589204.000000
1367.494492,0.031494,631026.000000,586886.000000
1370.811767,0.032026,628050.000000,583403.000000
1374.124812,0.032567,625034.000000,579878.000000
1378.535622,0.032890,620272.000000,575032.000000
1381.838794,0.033510,616892.000000,571083.000000
1385.137734,0.033867,613613.000000,567580.000000
1388.432444,0.034609,611526.000000,564684.000000
1391.722922,0.035795,610663.000000,562350.000000
1395.009169,0.036726,610634.000000,561119.000000
1398.291185,0.038550,611700.000000,559743.000000
1402.660624,0.040341,614051.000000,559581.000000
1405.932767,0.041671,616268.000000,559885.000000
1409.200679,0.042968,617795.000000,559598.000000
1412.464359,0.044141,618872.000000,559062.000000
1415.723809,0.045028,619795.000000,558753.000000
1418.979027,0.045132,620495.000000,559250.000000
1422.230015,0.045530,621087.000000,559271.000000
1426.558082,0.046069,621375.000000,558837.000000
1429.799197,0.045988,621616.000000,559158.000000
1433.036080,0.046023,622129.000000,559574.000000
1436.268732,0.046114,621526.000000,558914.000000
1439.497153,0.045607,621113.000000,559195.000000
1442.721343,0.046089,620921.000000,558403.000000
1445.941302,0.045996,620270.000000,557936.000000
1450.227998,0.046049,618860.000000,556600.000000
1453.438084,0.046075,617697.000000,555521.000000
1456.643939,0.046470,616264.000000,553729.000000
1459.845562,0.046998,614413.000000,551395.000000
1463.042954,0.046878,612307.000000,549656.000000
1466.236116,0.047696,610032.000000,546583.000000
1469.425046,0.048078,607345.000000,543698.000000
1473.670371,0.049575,603789.000000,538655.000000
1476.849428,0.050185,601175.000000,535569.000000
1480.024254,0.050393,597737.000000,532252.000000
1483.194849,0.050832,594479.000000,528816.000000
1486.361213,0.051143,591232.000000,525551.000000
1489.523345,0.051512,587853.000000,522104.000000
1492.681247,0.051429,583875.000000,518670.000000
1496.885200,0.050186,578062.000000,514978.000000
1500.033229,0.049869,574159.000000,511874.000000
1503.177027,0.049936,570285.000000,508342.000000
1506.316593,0.048702,565444.000000,505461.000000
1509.451928,0.047824,560571.000000,502119.000000
1512.583032,0.047310,555821.000000,498454.000000
1515.709905,0.046749,550344.000000,494180.000000
1519.872487,0.046573,543983.000000,488666.000000
1522.989487,0.046038,538764.000000,484574.000000
1526.102256,0.046086,533692.000000,479960.000000
1529.210794,0.045384,527902.000000,475521.000000
1532.315101,0.045269,521886.000000,470226.000000
1535.415176,0.045116,515888.000000,464985.000000
1538.511021,0.044319,509987.000000,460511.000000
1541.602634,0.044438,503936.000000,454922.000000
1545.718203,0.044303,494694.000000,446718.000000
1548.799943,0.043465,488378.000000,441867.000000
1551.877452,0.044248,481832.000000,435159.000000
1554.950730,0.043653,474989.000000,429567.000000
1558.019777,0.044021,467818.000000,422723.000000
1561.084593,0.043793,460730.000000,416537.000000
1564.145177,0.043375,454170.000000,411002.000000
1568.219375,0.042655,444181.000000,402629.000000
1571.270087,0.043066,436947.000000,395697.000000
1574.316568,0.043774,429598.000000,388408.000000
1577.358817,0.043060,422039.000000,382202.000000
1580.396835,0.042942,414375.000000,375363.000000
1583.430622,0.043032,406354.000000,368021.000000
1586.460178,0.042499,398475.000000,361328.000000
1590.493005,0.043412,388982.000000,351980.000000
1593.512688,0.043085,380708.000000,344752.000000
1596.528140,0.043122,372727.000000,337496.000000
1599.539361,0.044039,365060.000000,329857.000000
1602.546350,0.044505,357543.000000,322718.000000
1605.549109,0.046084,349495.000000,314309.000000
1608.547636,0.047255,341154.000000,305982.000000
1612.539091,0.049372,330877.000000,295321.000000
1615.527746,0.048947,322904.000000,288487.000000
1618.512169,0.050326,315116.000000,280637.000000
1621.492362,0.052564,307217.000000,272196.000000
1624.468323,0.053605,299481.000000,264706.000000
1627.440053,0.057350,292112.000000,255976.000000
1630.407551,0.060817,284245.000000,247102.000000
1634.357635,0.070781,274079.000000,232860.000000
1637.315261,0.080153,266916.000000,221933.000000
1640.268656,0.091426,259612.000000,210329.000000
1643.217819,0.105416,251804.000000,197536.000000
1646.162752,0.118199,244348.000000,186127.000000
1649.103453,0.133230,236703.000000,174170.000000
1652.039924,0.144913,228171.000000,163436.000000
